CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,CAND_IND7,CAND_IND8,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1530,7,7,785,72,18,93,78,211,810,11,33,26,21,0,0,56,3,31,13,43,18,2,0,2324,1,50,2375,4615
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1531,6,6,745,92,23,70,89,198,767,5,33,33,32,0,0,63,7,10,20,60,9,2,0,2258,0,63,2321,4055
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1532,3,3,344,24,7,30,34,61,287,4,17,12,7,0,0,27,1,4,4,16,4,1,0,884,1,28,913,2020
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1533,4,4,496,54,10,31,27,68,262,4,8,18,4,0,0,25,5,2,11,28,7,5,1,1066,0,27,1093,2607
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1534,3,3,353,39,10,25,29,54,249,2,8,11,4,0,0,20,2,3,3,19,5,1,0,837,0,16,853,1543
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1535,3,3,268,25,6,27,41,57,335,4,8,9,8,0,0,24,4,4,8,19,3,1,0,851,0,12,863,1871
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1536,2,2,156,6,1,8,13,29,244,1,11,2,3,0,0,9,0,2,2,4,1,0,0,492,5,6,503,1022
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1537,2,2,261,19,4,24,24,46,269,5,20,8,4,0,0,26,3,3,4,22,6,3,0,751,1,19,771,1396
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1538,2,2,141,28,4,13,15,34,185,1,5,8,6,0,0,11,2,1,2,4,6,0,0,466,1,14,481,846
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1539,2,2,170,22,1,15,10,30,152,5,12,11,11,0,0,20,2,11,2,14,2,1,0,491,0,17,508,995
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1540,2,2,271,32,4,13,19,49,208,1,9,11,4,0,0,17,0,4,2,15,4,2,1,666,0,13,679,1138
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1541,3,3,381,70,7,46,42,64,452,7,22,12,6,0,0,56,2,7,6,34,7,1,0,1222,1,16,1239,1959
