CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,PAN_PRI_PRD_NAEM,PAN_PRI_PRD,PAN_PRI_NAEM,PAN_PRD_NAEM,PRI_PRD_NAEM,PAN_PRI,PAN_PRD,PAN_NAEM,PRI_PRD,PRI_NAEM,PRD_NAEM,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CC_PAN_PRI_PRD_NAEM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,6814,5,5,0,0,0,247,39,164,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,1663,4,84,1751,3107
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,6815,5,5,0,0,0,261,41,166,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0,1612,0,65,1677,3161
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,6816,4,4,0,0,0,218,31,179,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,1545,0,90,1635,2981
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,6817,4,4,0,0,0,251,27,81,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,1201,1,56,1258,2279
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,6818,5,5,0,0,0,233,35,171,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,1556,2,70,1628,3049
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,6819,4,4,0,0,0,199,30,124,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,1479,1,83,1563,2844
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,6820,4,4,0,0,0,200,23,146,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,1511,0,53,1564,2910
5,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
5,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5176,3,3,288,466,11,27,16,108,417,8,3,27,1,1,0,6,3,0,0,0,0,27,1,3,6,0,0,0,0,0,0,0,0,0,0,1419,1,21,1441,1876
5,15,MEXICO,2,TOLUCA DE LERDO,107,TOLUCA,5177,5,5,329,455,15,60,24,176,597,9,3,21,0,0,0,11,0,0,0,1,0,28,3,5,9,0,0,0,0,0,0,0,0,0,0,1746,3,32,1781,2413
