CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_NAY,PAN_PRI,PAN_NAY,PRI_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,31,YUCATAN,4,MERIDA,50,MERIDA,404,3,3,300,54,5,33,13,63,640,18,0,0,0,0,22,4,5,1,1158,0,55,1213,1804
3,31,YUCATAN,4,MERIDA,50,MERIDA,405,2,2,232,34,6,35,27,45,353,3,0,0,0,0,16,0,5,2,758,0,21,779,1199
3,31,YUCATAN,4,MERIDA,50,MERIDA,406,3,3,380,67,5,46,20,60,387,14,0,0,0,0,36,1,6,3,1025,0,42,1067,1065
3,31,YUCATAN,4,MERIDA,50,MERIDA,407,2,2,231,56,4,21,10,37,220,5,0,0,0,0,15,0,4,3,606,1,22,629,892
3,31,YUCATAN,4,MERIDA,50,MERIDA,408,2,2,213,46,2,7,1,41,116,6,0,0,0,0,144,4,0,0,580,0,19,599,913
3,31,YUCATAN,4,MERIDA,50,MERIDA,409,2,2,209,30,2,17,11,20,186,5,0,0,0,0,20,1,0,3,504,1,22,527,774
3,31,YUCATAN,1,MERIDA,50,MERIDA,410,1,1,164,34,1,8,4,34,139,3,0,0,0,0,5,1,2,1,396,0,20,416,639
3,31,YUCATAN,1,MERIDA,50,MERIDA,411,2,2,222,44,2,11,10,27,216,5,0,0,0,0,19,0,10,2,568,0,23,591,844
3,31,YUCATAN,1,MERIDA,50,MERIDA,412,2,2,188,37,2,12,5,24,198,5,0,0,0,0,13,2,4,1,491,1,17,509,764
3,31,YUCATAN,7,MERIDA,50,MERIDA,413,2,2,227,40,7,20,6,58,323,8,0,11,0,0,0,0,0,0,700,0,50,750,1172
3,31,YUCATAN,7,MERIDA,50,MERIDA,414,2,2,410,52,2,15,9,52,257,7,0,13,0,0,0,0,0,0,817,1,29,847,1093
3,31,YUCATAN,7,MERIDA,50,MERIDA,415,2,2,354,52,3,12,8,63,233,5,0,16,0,0,0,0,0,0,746,0,36,782,1009
3,31,YUCATAN,7,MERIDA,50,MERIDA,416,2,2,318,49,1,19,7,42,246,9,0,14,0,0,0,0,0,0,705,0,25,730,1036
3,31,YUCATAN,7,MERIDA,50,MERIDA,417,2,2,245,33,3,8,10,54,237,3,0,11,0,0,0,0,0,0,604,0,33,637,870
3,31,YUCATAN,7,MERIDA,50,MERIDA,418,2,2,76,17,2,12,4,12,130,4,0,5,0,0,0,0,0,0,262,0,19,281,924
3,31,YUCATAN,7,MERIDA,50,MERIDA,419,2,2,177,40,4,22,9,25,263,7,0,10,0,0,0,0,0,0,557,0,37,594,990
3,31,YUCATAN,1,MERIDA,50,MERIDA,420,2,2,212,35,1,17,11,33,276,5,0,0,0,0,18,1,2,1,612,0,20,632,1008
