ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,52,JOCOTEPEC,20,64,65,1003,438,74,781,133,6447,2574,1303,7741,,,87,25,5,3,302,9,88,67,39,5,32,14,80,10,96,53,41,15,114,37,3,24,9,11,2,9,89,22,208,158,22151,69,464,22684,38738,
14,JALISCO,53,JUANACATLAN,7,30,30,3303,211,34,167,1002,2540,3055,39,58,,,91,36,6,0,42,7,5,112,0,2,3,13,1,4,3,43,0,1,1,4,3,10,74,2,1,0,6,7,3,1,10890,3,248,11141,19043,
14,JALISCO,54,JUCHITLAN,6,10,10,425,906,46,22,27,509,488,734,15,,,59,19,1,2,11,5,2,5,0,4,0,1,1,4,0,4,1,3,1,1,3,0,0,1,3,0,16,68,1,3,3391,1,65,3457,5689,
14,JALISCO,55,LAGOS DE MORENO,82,227,228,10046,1965,223,1491,813,37438,13220,2422,345,,,492,257,16,12,174,38,31,443,5,10,4,84,18,23,22,166,8,14,6,27,19,19,98,2,5,4,54,98,25,16,70153,93,2050,72296,130584,
14,JALISCO,56,EL LIMON,6,12,13,21,28,15,67,40,1647,1532,33,16,,,2,0,0,0,8,6,6,13,0,1,1,2,1,1,2,9,0,1,0,0,2,3,7,0,1,0,0,11,2,1,3479,7,60,3546,6224,
14,JALISCO,57,MAGDALENA,12,28,28,557,3866,30,79,74,3492,1024,49,11,,,204,56,1,5,2,0,3,33,3,0,0,10,1,1,2,12,0,0,0,1,0,3,5,0,0,1,1,5,1,1,9533,12,245,9790,16736,
14,JALISCO,58,SANTA MARIA DEL ORO,5,6,6,35,700,10,,,542,,,,,,20,13,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1321,0,18,1339,2069,
14,JALISCO,59,LA MANZANILLA DE LA PAZ,5,8,8,,,,1341,,1235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2576,2,48,2626,3756,
14,JALISCO,60,MASCOTA,14,25,26,173,186,29,1987,,2057,2953,37,33,,,10,8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,7474,20,185,7679,12296,
14,JALISCO,61,MAZAMITLA,9,23,23,1250,1558,179,0,0,2283,0,0,0,,,162,43,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5486,0,1724,7210,12507,
14,JALISCO,62,MEXTICACAN,7,11,11,292,529,9,32,51,756,956,7,12,,,24,18,0,1,8,0,2,16,0,0,0,3,0,2,1,5,0,1,1,1,1,2,8,0,0,0,0,1,0,1,2740,16,116,2872,5164,
14,JALISCO,63,MEZQUITIC,11,29,29,4351,152,26,255,345,1627,3475,46,78,,,113,52,9,0,38,4,5,67,5,1,2,17,3,0,2,17,1,2,2,2,2,2,12,0,0,0,3,8,8,0,10732,0,408,11140,16085,
14,JALISCO,64,MIXTLAN,4,7,7,30,898,2,394,17,451,305,2,4,,,18,9,0,1,1,1,0,12,0,0,0,3,1,0,0,19,0,2,0,0,0,0,2,0,0,0,0,0,1,0,2173,0,45,2218,3550,
14,JALISCO,65,OCOTLAN,46,135,136,4360,3198,301,3298,5150,13593,12064,1151,285,,,369,70,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,43854,33,1401,45288,82500,
14,JALISCO,66,OJUELOS DE JALISCO,15,39,39,2821,1248,502,106,761,5364,2876,404,,,,555,62,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,14721,16,672,15409,22622,
14,JALISCO,67,PIHUAMO,12,22,22,22,699,5,,,898,272,70,120,,,10,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,0,79,2179,9855,
14,JALISCO,68,PONCITLAN,21,69,70,1391,4400,147,555,323,7079,4628,3783,,,,176,51,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,22549,33,922,23504,41570,
14,JALISCO,69,PUERTO VALLARTA,88,381,382,3025,1312,277,50183,2129,33789,24247,2192,4910,,,193,40,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,122306,118,4379,126803,246199,
14,JALISCO,70,VILLA PURIFICACION,10,19,19,426,1852,46,41,40,1468,918,25,14,,,131,39,3,3,11,4,2,33,1,1,1,8,2,0,0,10,0,0,0,1,2,2,5,1,2,0,1,3,3,0,5099,12,241,5352,10256,
14,JALISCO,71,QUITUPAN,13,19,19,88,484,26,323,41,2985,695,34,9,,,89,3,0,2,4,16,2,19,1,0,3,4,1,7,1,25,0,1,1,0,0,0,3,0,0,0,3,1,1,0,4872,0,146,5018,8986,
14,JALISCO,72,EL SALTO,26,213,214,1995,5937,250,1414,1326,27842,28957,608,733,,,415,194,12,23,436,57,118,662,12,18,28,43,38,32,61,229,5,9,5,41,11,38,138,5,5,3,47,39,34,24,71844,75,1527,73446,143957,
14,JALISCO,73,SAN CRISTOBAL DE LA BARRANCA,5,7,7,1062,25,5,18,368,293,46,4,0,,,13,12,3,0,4,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,1869,0,64,1933,3063,
14,JALISCO,74,SAN DIEGO DE ALEJANDRIA,8,12,12,1399,197,10,1544,15,260,72,7,3,,,82,9,0,0,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3661,0,82,3743,5882,
14,JALISCO,75,SAN JUAN DE LOS LAGOS,42,102,102,12975,667,125,3493,247,8120,4222,235,68,,,345,96,14,2,86,21,12,175,4,3,2,35,9,8,12,142,1,7,6,4,1,1,19,0,1,1,7,7,4,1,31178,65,748,31991,58892,
14,JALISCO,76,SAN JULIAN,9,25,25,2381,420,25,70,45,2185,170,2940,14,,,150,60,5,1,17,6,0,14,3,2,0,3,0,6,0,3,0,17,0,6,6,0,0,0,2,0,4,41,0,10,8606,0,250,8856,13965,
14,JALISCO,77,SAN MARCOS,2,6,6,707,41,12,221,20,360,689,86,8,,,31,4,2,0,15,5,3,3,2,0,0,3,2,1,1,8,0,1,0,1,1,0,2,2,0,0,1,5,1,0,2238,96,61,2395,3298,
14,JALISCO,78,SAN MARTIN DE BOLAÑOS,3,5,5,,,,33,10,738,215,445,9,,,,,,,13,2,0,4,2,4,3,4,0,2,0,1,2,1,0,0,3,0,1,2,1,0,0,20,0,3,1518,0,35,1553,2341,
14,JALISCO,79,SAN MARTIN HIDALGO,17,46,46,478,327,57,1081,184,6391,5379,577,59,,,36,4,0,1,115,20,12,75,11,8,1,16,18,23,7,68,3,5,2,6,12,4,32,4,0,1,5,22,6,1,15051,87,197,15335,26619,
14,JALISCO,80,SAN MIGUEL EL ALTO,18,45,46,5363,1059,89,586,291,4727,1395,949,,,,260,125,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,14863,6,502,15371,26791,
14,JALISCO,81,SAN SEBASTIAN DEL OESTE,7,10,10,6,21,6,674,10,2158,281,16,4,,,0,0,0,0,11,5,0,7,1,0,1,1,0,8,0,20,1,5,0,0,1,0,2,0,0,0,0,3,1,0,3243,0,118,3361,4874,
