ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,112,VALLE DE GUADALUPE,7,13,14,,,,,,584,,,,,,2620,390,3594,1,91,3686,6975,
14,JALISCO,113,VALLE DE JUAREZ,6,13,13,,,,,,436,,,,,,2655,718,3809,1,128,3938,6307,
14,JALISCO,114,VILLA CORONA,10,25,26,,,,,,1772,,,,,,1409,5053,8234,5,254,8493,15970,
14,JALISCO,115,VILLA GUERRERO,6,9,10,,,,,,1578,,,,,,1718,,3296,1,65,3362,4887,
14,JALISCO,116,VILLA HIDALGO,8,27,27,,,,,,4146,,,,,,2341,1574,8061,8,331,8400,16287,
14,JALISCO,117,CAÑADAS DE OBREGON,7,11,11,,,,,55,1006,434,9,,,,531,,2035,2,119,2156,4106,
14,JALISCO,118,YAHUALICA DE GONZALEZ GALLO,20,39,40,,,,,,256,,,,,,4950,4951,10157,3,384,10544,21563,
14,JALISCO,119,ZACOALCO DE TORRES,16,39,40,,,,1741,594,6725,3899,244,412,,,797,,14412,7,395,14814,25414,
14,JALISCO,120,ZAPOPAN,500,1788,1791,,,,,,323708,,,,,,100277,225385,649370,490,11953,661813,1148285,
14,JALISCO,121,ZAPOTILTIC,21,49,50,,,,,,3632,,,,,,4859,7497,15988,28,334,16350,28159,
14,JALISCO,122,ZAPOTITLAN DE VADILLO,6,12,12,,,,,,735,,,,,,1452,1542,3729,1,103,3833,5560,
14,JALISCO,123,ZAPOTLAN DEL REY,13,28,29,,,,,,3513,,,,,,2579,2422,8514,0,273,8787,15566,
14,JALISCO,124,ZAPOTLANEJO,32,99,100,,,,2569,229,14372,8395,725,,,,3206,,29496,11,1090,30597,61816,
14,JALISCO,125,SAN IGNACIO CERRO GORDO,8,26,27,,,,,,1284,,,,,,3794,3502,8580,2,198,8780,15878,
