CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,1,TEQUILA,9,EL ARENAL,143,C,1,0,C01,0,139,19,4,6,4,244,69,4,0,,,13,3,2,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,4,0,1,2,0,0,0,0,2,0,0,520,0,17,537,745,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,26,COLOTLAN,411,B,1,0,B,0,123,22,3,3,2,163,58,28,2,,,5,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,415,0,14,429,679,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,26,COLOTLAN,415,B,1,0,B,0,69,54,0,0,2,114,30,14,0,,,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,296,0,9,305,493,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,26,COLOTLAN,415,C,1,0,C01,0,78,50,0,2,0,109,36,16,1,,,4,2,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,4,307,493,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,26,COLOTLAN,416,C,1,0,C01,0,73,41,0,2,3,106,27,16,1,,,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,279,0,10,289,439,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,26,COLOTLAN,418,B,1,0,B,0,93,29,2,0,0,115,50,16,1,,,5,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,14,328,543,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,26,COLOTLAN,419,B,1,0,B,0,68,32,1,3,2,155,42,26,1,,,6,8,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,13,360,640,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,26,COLOTLAN,423,B,1,0,B,0,8,19,2,1,1,49,24,2,0,,,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,113,0,3,116,230,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,26,COLOTLAN,424,B,1,0,B,0,23,4,1,4,0,55,36,6,0,,,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,135,0,8,143,234,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,26,COLOTLAN,425,E,1,0,E01,0,82,16,1,5,4,72,46,12,2,,,1,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,249,0,13,262,561,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,115,VILLA GUERRERO,2844,B,1,0,B,0,9,129,0,,,155,,,,,,7,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,301,0,2,303,382,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,77,SAN MARCOS,2107,B,1,0,B,0,106,7,2,35,4,48,109,18,2,,,4,1,0,0,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,9,9,361,511,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,78,SAN MARTIN DE BOLAÑOS,2112,B,1,0,B,0,,,,1,0,114,21,48,2,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,188,0,6,194,265,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,82,SANTA MARIA DE LOS ANGELES,2159,B,1,0,B,0,15,105,0,2,0,149,19,0,0,,,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,304,0,11,315,488,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,82,SANTA MARIA DE LOS ANGELES,2160,E,1,0,E01,0,1,97,0,1,0,42,33,0,1,,,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,182,0,3,185,282,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,82,SANTA MARIA DE LOS ANGELES,2161,B,1,0,B,0,14,103,2,2,3,127,52,1,0,,,4,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,316,0,12,328,591,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2181,C,2,0,C02,0,5,9,0,22,8,206,126,1,5,,,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,394,0,7,401,627,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,84,TALA,2187,B,1,0,B,0,7,7,2,18,5,185,101,2,3,,,0,0,0,0,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,339,0,8,347,654,Grupo de recuento,,,
