CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,256,2,2,197,27,23,20,9,36,151,8,3,0,0,474,0,30,504,1109
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,257,6,6,853,98,28,76,27,191,698,40,10,1,1,2023,0,78,2101,4031
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,258,2,2,256,25,15,13,7,50,226,9,3,0,1,605,0,35,640,1229
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,259,1,1,90,5,6,4,4,19,87,4,2,0,0,221,1,16,238,413
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,260,3,3,533,62,11,35,18,121,357,34,4,2,0,1177,1,57,1235,1953
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,261,2,2,191,27,8,14,11,46,210,6,2,0,0,515,0,35,550,949
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,262,1,1,114,17,6,11,10,40,99,3,3,0,0,303,0,9,312,573
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,263,1,1,130,13,3,21,5,37,132,9,5,0,0,355,1,15,371,732
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,264,2,2,230,26,8,13,8,43,164,9,11,0,0,512,1,23,536,916
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,265,2,2,151,26,6,11,18,30,147,7,6,1,0,403,0,22,425,806
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,266,1,1,164,19,5,16,10,24,158,4,2,0,0,402,0,24,426,702
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,267,2,2,238,39,10,17,17,44,266,8,7,1,1,648,0,35,683,1276
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,268,1,1,137,16,7,9,8,26,118,8,1,0,0,330,0,12,342,654
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,269,2,2,206,27,5,9,4,19,145,7,3,0,1,426,0,22,448,796
