CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,10,DURANGO,4,DURANGO,5,DURANGO,349,7,7,177,553,47,73,202,176,698,45,25,2,1,0,1999,5,187,2191,5107
1,10,DURANGO,4,DURANGO,5,DURANGO,350,2,2,57,118,3,31,26,40,199,11,2,0,0,0,487,1,35,523,1029
1,10,DURANGO,4,DURANGO,5,DURANGO,351,3,3,451,432,14,44,38,130,220,30,2,0,0,0,1361,1,31,1393,2113
1,10,DURANGO,4,DURANGO,5,DURANGO,352,1,1,1,87,1,11,2,3,51,3,1,0,1,0,161,0,11,172,319
1,10,DURANGO,4,DURANGO,5,DURANGO,353,1,1,13,101,0,4,3,0,77,5,0,0,0,0,203,0,9,212,380
1,10,DURANGO,4,DURANGO,5,DURANGO,358,1,1,5,77,2,7,12,4,120,3,3,0,0,0,233,0,23,256,431
1,10,DURANGO,4,DURANGO,5,DURANGO,360,1,1,4,33,1,6,3,0,56,1,1,0,0,0,105,0,17,122,236
1,10,DURANGO,4,DURANGO,5,DURANGO,373,1,1,8,91,0,5,9,1,45,1,0,0,0,0,160,0,12,172,280
1,10,DURANGO,4,DURANGO,5,DURANGO,374,1,1,9,179,2,12,1,2,129,5,6,0,1,0,346,0,13,359,665
1,10,DURANGO,4,DURANGO,5,DURANGO,375,1,1,10,49,0,3,8,2,72,6,1,0,0,0,151,0,19,170,304
1,10,DURANGO,4,DURANGO,5,DURANGO,386,2,2,13,81,0,14,5,1,111,10,4,0,2,0,241,1,8,250,485
1,10,DURANGO,4,DURANGO,5,DURANGO,387,1,1,4,42,1,3,1,0,33,3,0,0,0,0,87,0,7,94,178
1,10,DURANGO,4,DURANGO,5,DURANGO,388,2,2,24,73,0,9,27,14,218,6,7,0,0,0,378,1,37,416,901
1,10,DURANGO,4,DURANGO,5,DURANGO,389,3,3,107,182,14,39,56,46,209,20,9,1,1,0,684,1,53,738,1509
