CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESC,CL,EDC,MLC,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,329,2,2,58,119,2,32,28,82,257,4,4,0,0,6,17,5,1,9,624,0,36,660,920
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,330,2,2,292,43,2,16,16,103,294,3,6,2,3,0,13,5,1,2,801,0,26,827,1123
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,332,1,1,81,18,1,6,13,46,135,2,5,0,1,0,3,1,3,2,317,0,20,337,509
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,333,2,2,165,34,6,30,29,113,346,5,3,2,3,0,11,2,1,1,751,0,47,798,1238
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,334,4,4,159,23,5,46,34,163,346,3,17,3,3,0,7,1,1,0,811,0,29,840,1211
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,336,2,2,30,36,11,34,19,100,303,1,7,3,2,0,20,2,2,5,575,2,26,603,957
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,339,1,1,29,17,0,0,0,94,222,3,13,0,1,0,0,0,0,0,379,0,19,398,642
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,340,4,4,82,56,7,68,57,163,709,13,21,1,9,0,51,5,7,6,1255,0,73,1328,2355
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,342,2,2,107,155,3,24,17,98,370,2,70,1,9,0,6,1,1,3,867,0,30,897,1301
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,343,2,2,82,153,2,16,11,65,308,1,56,0,0,1,1,3,1,0,700,3,13,716,1141
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,347,3,3,142,17,5,27,28,98,322,9,192,2,1,0,3,10,2,0,858,0,47,905,1491
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,348,2,2,25,26,3,26,18,65,235,4,27,1,3,1,17,6,3,2,462,0,33,495,841
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,350,3,3,60,158,8,34,34,238,428,5,8,1,2,3,10,11,4,4,1008,4,49,1061,1683
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,351,1,1,41,27,1,68,14,115,131,2,1,0,3,0,5,1,1,0,410,0,15,425,540
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,352,1,1,34,20,1,23,19,100,205,1,20,0,1,0,7,0,0,0,431,0,18,449,705
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,353,1,1,26,19,0,17,9,42,145,1,1,2,1,0,4,1,1,3,272,0,7,279,431
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,354,2,2,150,20,5,27,29,64,267,5,4,0,1,3,5,4,1,3,588,0,29,617,838
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,355,1,1,5,15,1,10,12,35,112,1,12,0,0,1,0,0,0,1,205,0,13,218,295
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,528,1,1,22,8,2,12,20,92,139,1,7,1,0,0,13,0,0,0,317,3,16,336,733
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,529,2,2,6,11,0,0,0,44,0,0,15,0,0,0,137,0,0,0,213,0,19,232,928
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,530,1,1,18,13,1,14,14,21,89,1,3,0,2,0,2,2,1,1,182,0,10,192,295
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,538,5,5,166,53,17,87,67,136,880,12,5,3,6,1,27,9,10,8,1487,2,95,1584,3254
3,4,CAMPECHE,16,SEYBAPLAYA,4,CHAMPOTON,539,2,2,266,21,4,22,20,128,380,1,1,3,0,0,6,0,1,2,855,0,28,883,1139
3,4,CAMPECHE,16,SEYBAPLAYA,13,SEYBAPLAYA,320,3,3,50,472,22,27,30,177,474,5,22,2,0,7,10,2,3,3,1306,1,47,1354,1878
3,4,CAMPECHE,16,SEYBAPLAYA,13,SEYBAPLAYA,321,2,2,28,225,22,21,10,81,178,1,3,0,0,3,14,1,2,2,591,0,18,609,774
3,4,CAMPECHE,16,SEYBAPLAYA,13,SEYBAPLAYA,322,2,2,45,271,11,15,28,109,313,2,8,0,0,4,14,3,6,1,830,0,28,858,1214
3,4,CAMPECHE,16,SEYBAPLAYA,13,SEYBAPLAYA,323,2,2,60,280,8,28,17,96,216,5,7,0,0,5,13,1,3,3,742,0,32,774,994
3,4,CAMPECHE,16,SEYBAPLAYA,13,SEYBAPLAYA,324,2,2,63,231,18,34,29,101,338,4,3,3,1,10,17,4,0,4,860,0,16,876,1148
3,4,CAMPECHE,16,SEYBAPLAYA,13,SEYBAPLAYA,325,3,3,81,404,12,25,23,188,424,6,13,0,2,9,26,3,4,1,1221,0,44,1265,1630
3,4,CAMPECHE,16,SEYBAPLAYA,13,SEYBAPLAYA,326,2,2,41,204,8,35,22,66,226,3,0,1,1,3,7,2,2,0,621,0,14,635,873
3,4,CAMPECHE,16,SEYBAPLAYA,13,SEYBAPLAYA,327,3,3,409,411,6,26,28,77,350,3,5,2,6,4,9,3,4,1,1344,0,44,1388,1863
3,4,CAMPECHE,16,SEYBAPLAYA,13,SEYBAPLAYA,328,3,3,365,303,5,17,9,80,302,3,6,1,3,3,7,3,4,6,1117,0,34,1151,1642
3,4,CAMPECHE,17,CALKINI,2,CALKINI,147,3,3,87,45,3,58,64,430,605,5,33,3,5,0,25,4,8,6,1381,1,44,1426,1963
3,4,CAMPECHE,17,CALKINI,2,CALKINI,148,2,2,71,44,2,33,32,288,329,0,23,2,2,1,17,2,4,1,851,0,28,879,1175
3,4,CAMPECHE,17,CALKINI,2,CALKINI,149,2,2,54,40,2,42,27,299,329,0,8,3,3,1,15,0,1,2,826,0,27,853,1160
3,4,CAMPECHE,17,CALKINI,2,CALKINI,150,2,2,66,33,8,15,13,176,241,2,32,3,4,0,14,0,3,1,611,0,6,617,787
3,4,CAMPECHE,17,CALKINI,2,CALKINI,151,2,2,58,45,1,23,14,217,203,8,29,3,1,2,19,0,3,0,626,0,22,648,823
3,4,CAMPECHE,17,CALKINI,2,CALKINI,152,2,2,68,36,3,22,25,178,360,3,17,2,2,0,18,2,2,2,740,0,29,769,1075
3,4,CAMPECHE,17,CALKINI,2,CALKINI,153,2,2,51,15,2,26,15,320,310,3,27,1,4,0,16,1,3,3,797,0,26,823,1067
3,4,CAMPECHE,17,CALKINI,2,CALKINI,154,4,5,68,85,6,55,69,519,690,5,49,14,2,0,18,1,5,6,1592,0,32,1624,1985
3,4,CAMPECHE,17,CALKINI,2,CALKINI,155,2,2,49,53,5,31,31,306,464,4,18,5,3,0,17,4,5,4,999,0,21,1020,1435
