CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,83,1,1,31,12,3,81,2,128,36,0,0,0,145,0,2,3,0,0,4,1,0,0,1,2,5,0,0,0,0,456,0,22,478,675
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,84,1,1,9,1,2,36,5,65,14,0,0,0,17,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,152,0,7,159,225
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,86,1,1,10,4,0,52,8,90,8,0,0,0,26,3,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,209,0,12,221,290
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,88,1,1,7,1,1,156,17,69,6,0,0,0,54,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,314,0,2,316,426
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,89,1,1,15,6,1,104,10,74,17,0,0,0,23,1,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,256,0,3,259,381
1,18,NAYARIT,16,BUCERIAS,4,BAHIA DE BANDERAS,91,2,2,98,25,9,29,40,7,179,4,0,0,1,0,8,4,1,0,9,11,0,0,1,1,3,1,8,0,2,441,0,13,454,790
1,18,NAYARIT,16,BUCERIAS,4,BAHIA DE BANDERAS,92,2,2,93,23,8,31,21,9,229,5,0,0,0,3,10,0,1,0,8,11,1,1,1,2,5,0,3,0,1,466,0,13,479,847
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,93,1,1,31,4,1,7,8,0,66,1,0,0,2,3,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,127,0,5,132,218
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,94,1,1,73,10,3,13,16,2,217,4,0,0,1,0,2,1,0,0,4,4,0,0,1,0,0,0,0,0,1,352,0,5,357,589
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,95,2,2,132,11,5,31,31,4,193,8,0,0,4,4,0,0,0,0,5,2,0,0,0,1,1,0,2,0,0,434,0,14,448,646
