CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1092,1,1,26,75,0,96,4,1,22,46,9,1,0,2,3,0,0,2,1,6,6,300,1,30,331,717
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1093,1,1,32,143,3,48,9,2,12,40,2,0,1,5,5,0,0,3,0,7,1,313,0,2,315,708
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1095,1,1,47,5,0,4,0,1,1,0,1,0,0,1,1,0,0,3,0,1,0,65,0,7,72,138
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1096,1,1,68,29,1,54,3,2,20,58,3,4,60,7,4,1,0,2,1,9,0,326,0,26,352,665
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1097,1,1,44,21,0,11,2,1,18,9,0,0,1,12,2,1,0,1,0,0,1,124,0,4,128,646
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1098,1,1,9,3,0,8,0,0,2,11,0,0,0,0,1,0,0,1,1,1,0,37,0,10,47,160
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1099,1,1,13,5,1,16,1,3,3,6,1,1,0,1,3,0,0,0,0,1,0,55,0,3,58,132
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1100,2,2,90,23,6,49,13,11,55,94,12,0,0,6,4,0,0,8,3,5,1,380,0,39,419,1249
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1101,2,2,29,34,1,169,6,28,57,35,6,1,1,8,3,1,0,7,3,6,1,396,0,20,416,1213
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1102,1,1,17,7,0,60,2,6,11,21,3,0,0,0,1,1,1,5,0,2,0,137,0,9,146,315
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1103,4,4,88,59,10,291,21,19,96,206,30,10,12,25,3,0,0,22,8,7,1,908,5,50,963,2388
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1104,3,3,56,39,2,281,18,14,57,102,10,6,1,14,5,0,0,13,2,7,1,628,0,48,676,1557
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1105,2,2,80,42,3,192,10,4,67,110,10,3,15,17,1,1,0,15,4,4,0,578,0,41,619,1220
2,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1106,11,11,3009,554,68,530,73,57,343,419,39,13,53,166,30,6,0,0,0,0,0,5360,3,152,5515,7531
2,24,SAN LUIS POTOSI,6,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1108,1,1,39,29,3,99,8,2,31,42,2,2,10,7,1,1,8,3,3,0,0,290,0,26,316,580
