CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CAD_IND1,CAD_IND2,CAD_IND3,CAD_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,536,3,3,253,51,15,157,9,10,15,56,214,0,8,41,13,6,1,12,5,16,2,0,0,0,0,884,0,42,926,2071
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,537,1,1,11,5,1,24,0,0,0,1,4,0,0,3,3,0,0,3,0,0,0,0,0,0,0,55,0,2,57,117
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,538,1,1,42,17,2,19,2,2,4,6,6,0,1,3,0,0,0,0,0,0,0,0,0,0,0,104,0,0,104,179
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,539,3,3,233,25,8,160,8,8,12,36,103,0,4,20,8,1,0,13,6,5,2,0,0,0,0,652,0,31,683,1329
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,540,1,1,121,26,5,82,3,3,16,16,25,0,0,24,6,2,0,7,3,3,0,0,0,0,0,342,0,14,356,595
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,541,2,2,157,17,3,96,9,25,11,26,69,0,3,24,9,3,0,2,5,3,8,0,0,0,0,470,1,29,500,1000
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,542,1,1,34,16,1,18,3,0,6,12,15,0,0,2,5,1,0,3,1,3,0,0,0,0,0,120,0,2,122,223
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,543,1,1,28,10,1,21,1,1,1,2,8,0,0,2,3,0,0,3,2,0,0,0,0,0,0,83,0,6,89,175
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,544,1,1,50,16,2,74,2,3,3,10,18,0,1,8,4,3,0,4,2,0,0,0,0,0,0,200,0,31,231,530
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,545,2,2,113,23,16,106,7,5,8,37,46,0,3,11,3,2,1,7,6,4,1,0,0,0,0,399,0,24,423,943
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,546,1,1,51,21,3,33,1,1,7,10,32,0,1,5,6,0,1,4,4,2,0,0,0,0,0,182,0,15,197,344
