CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CAD_IND1,CAD_IND2,CAD_IND3,CAD_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,399,B,1,0,B,0,27,12,2,29,0,0,0,5,8,0,23,2,1,0,0,1,2,1,0,0,0,0,0,113,0,7,120,157,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,400,B,1,0,B,0,3,15,0,37,1,0,8,3,17,0,5,0,0,0,0,0,0,0,0,0,0,0,0,89,0,4,93,132,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,401,B,1,0,B,0,13,20,1,58,2,0,4,8,23,0,45,0,2,0,1,5,2,5,0,0,0,0,0,189,0,8,197,302,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,401,E,1,0,E01,0,11,12,0,27,4,0,0,4,10,0,32,2,2,0,0,2,3,1,0,0,0,0,0,110,0,6,116,219,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,402,B,1,0,B,0,25,35,1,86,3,0,3,10,18,0,64,4,2,1,0,7,2,1,1,0,0,0,0,263,0,24,287,448,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,402,C,1,0,C01,0,16,33,2,72,2,0,5,14,12,0,67,4,2,0,0,4,2,10,0,0,0,0,0,245,0,18,263,448,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,403,B,1,0,B,0,17,26,4,221,3,0,10,17,22,0,95,1,3,0,0,17,7,1,1,0,0,0,0,445,0,15,460,695,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,404,B,1,0,B,0,0,0,0,42,7,0,18,17,44,0,40,55,0,0,0,0,0,0,0,0,0,0,0,223,0,23,246,473,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,0,VOTO ANTICIPADO,20,MATEHUALA,0,A,16,0,VA16,0,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,7,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,490,B,1,0,B,0,190,24,9,79,2,1,8,23,54,0,0,27,3,2,0,7,3,3,1,0,0,0,0,436,2,13,451,745,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,490,C,1,0,C01,0,189,28,1,61,4,5,9,15,61,0,2,19,7,4,0,9,2,0,1,0,0,0,0,417,0,10,427,744,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,491,B,1,0,B,0,87,6,2,60,3,4,6,11,33,0,2,12,3,1,0,7,0,3,1,0,0,0,0,241,1,7,249,425,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,491,C,1,0,C01,0,115,12,5,63,3,4,4,9,41,0,0,2,2,0,0,7,0,3,0,0,0,0,0,270,0,9,279,425,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,492,B,1,0,B,0,113,7,7,34,0,3,1,0,7,0,0,10,0,0,0,3,1,1,0,0,0,0,0,187,0,3,190,268,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,493,B,1,0,B,0,222,7,6,98,4,6,8,9,57,0,0,11,4,4,0,7,1,2,1,0,0,0,0,447,0,9,456,717,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,493,C,1,0,C01,0,190,16,7,52,5,6,11,12,61,0,1,21,5,1,0,13,0,0,1,0,0,0,0,402,4,19,425,717,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,494,B,1,0,B,0,176,22,1,57,5,1,10,15,58,0,1,13,6,0,0,7,1,1,0,0,0,0,0,374,0,11,385,595,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,494,C,1,0,C01,0,182,20,5,54,2,9,10,14,48,0,2,9,1,0,0,2,1,1,0,0,0,0,0,360,0,9,369,594,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,495,B,1,0,B,0,167,21,11,40,2,7,4,12,29,0,1,21,3,0,0,0,2,4,1,0,0,0,0,325,0,6,331,512,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,495,C,1,0,C01,0,172,8,9,52,1,4,9,13,20,0,3,18,1,0,0,4,1,2,0,0,0,0,0,317,0,10,327,511,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,496,B,1,0,B,0,140,14,6,67,3,5,10,12,69,0,1,16,0,1,1,6,0,2,0,0,0,0,0,353,0,9,362,621,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,496,C,1,0,C01,0,140,15,6,61,1,7,10,16,49,0,2,16,1,0,0,4,4,2,0,0,0,0,0,334,0,8,342,621,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,496,C,2,0,C02,0,151,11,7,57,2,3,9,12,64,0,1,10,6,0,0,7,2,0,0,0,0,0,0,342,0,9,351,621,ACTA CASILLA,,,
