CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,CAND_IND1,PAN_PRI,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,795,B,1,0,B,0,94,11,0,2,8,6,82,0,0,0,0,0,0,203,0,1,204,382,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,796,B,1,0,B,0,86,12,0,2,2,6,73,0,6,4,0,0,3,194,0,7,201,409,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,796,C,1,0,C01,0,85,14,0,5,4,8,90,0,6,7,0,1,3,223,0,7,230,409,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,797,B,1,0,B,0,137,18,0,2,9,9,183,0,9,8,4,1,0,380,0,9,389,707,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,798,B,1,0,B,0,103,16,0,4,3,5,87,0,4,4,0,2,2,230,0,6,236,423,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,798,C,1,0,C01,0,85,8,0,0,2,10,71,0,3,3,0,1,2,185,0,8,193,423,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,799,B,1,0,B,0,174,28,0,9,4,17,106,0,8,4,1,0,2,353,0,5,358,724,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,800,B,1,0,B,0,107,11,1,2,6,8,77,0,9,3,0,2,1,227,0,1,228,417,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,800,C,1,0,C01,0,94,14,0,4,2,7,65,0,6,2,1,0,1,196,0,3,199,417,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,801,B,1,0,B,0,108,18,0,5,12,16,140,0,7,14,1,1,0,322,1,4,327,618,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,802,B,1,0,B,0,156,24,1,2,9,10,160,0,9,3,2,1,4,381,0,10,391,644,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,803,B,1,0,B,0,157,21,0,1,6,12,147,0,10,7,3,1,1,366,0,9,375,651,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,813,B,1,0,B,0,142,21,2,4,11,13,173,0,6,7,0,0,1,380,1,10,391,700,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,813,C,1,0,C01,0,144,10,1,5,10,9,183,0,11,4,0,1,3,381,0,13,394,700,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,813,C,2,0,C02,0,181,11,0,4,10,13,139,0,13,7,0,0,4,382,0,7,389,699,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,813,C,3,0,C03,0,144,14,0,2,5,10,168,0,7,7,2,2,3,364,0,16,380,699,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,816,B,1,0,B,0,131,15,3,4,5,10,188,0,10,5,1,1,4,377,0,6,383,699,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,816,C,1,0,C01,0,115,15,0,9,10,10,194,0,7,7,2,1,4,374,0,12,386,699,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,816,C,2,0,C02,0,158,15,1,3,7,10,164,0,3,3,0,0,1,365,0,10,375,699,RECUENTO,,,
