CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,CAND_IND1,PAN_PRI,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,769,1,1,169,18,4,6,7,10,130,0,10,4,0,1,2,361,0,6,367,705
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,770,2,2,153,27,2,7,12,6,149,0,8,5,0,1,5,375,0,8,383,819
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,771,1,1,123,11,0,4,9,5,95,0,6,5,0,1,4,263,0,3,266,516
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,772,1,1,69,6,0,0,2,5,42,0,2,1,0,0,0,127,0,4,131,273
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,773,1,1,111,16,0,2,5,11,110,0,8,2,2,0,0,267,0,4,271,501
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,774,2,2,236,24,2,4,18,14,180,0,15,11,0,0,7,511,0,15,526,961
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,775,2,2,176,27,1,5,9,15,174,0,17,10,0,2,1,437,0,11,448,872
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,776,1,1,97,20,0,3,5,10,79,0,9,5,0,0,3,231,0,6,237,499
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,777,1,1,116,13,0,4,4,9,79,0,8,4,0,0,2,239,0,12,251,503
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,787,1,1,190,25,0,8,13,13,95,0,5,5,0,0,0,354,0,7,361,717
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,788,2,2,189,29,1,8,14,11,156,0,15,14,1,2,3,443,1,21,465,1007
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,789,1,1,82,18,0,2,5,6,86,0,3,3,0,1,0,206,0,2,208,454
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,790,1,1,76,11,0,2,6,11,101,0,7,5,0,0,1,220,0,4,224,466
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,791,2,2,213,35,0,7,5,11,158,0,8,5,0,2,3,447,0,9,456,870
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,792,1,1,154,18,0,3,11,17,123,0,15,11,1,1,3,357,0,9,366,700
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,793,1,1,159,23,1,5,8,5,145,0,4,5,1,0,2,358,1,6,365,657
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,794,1,1,165,20,0,2,5,19,131,0,6,5,1,0,2,356,0,10,366,689
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,795,1,1,94,11,0,2,8,6,82,0,0,0,0,0,0,203,0,1,204,382
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,796,2,2,171,26,0,7,6,14,163,0,12,11,0,1,6,417,0,14,431,818
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,797,1,1,137,18,0,2,9,9,183,0,9,8,4,1,0,380,0,9,389,707
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,798,2,2,188,24,0,4,5,15,158,0,7,7,0,3,4,415,0,14,429,846
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,799,1,1,174,28,0,9,4,17,106,0,8,4,1,0,2,353,0,5,358,724
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,800,2,2,201,25,1,6,8,15,142,0,15,5,1,2,2,423,0,4,427,834
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,801,1,1,108,18,0,5,12,16,140,0,7,14,1,1,0,322,1,4,327,618
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,802,1,1,156,24,1,2,9,10,160,0,9,3,2,1,4,381,0,10,391,644
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,803,1,1,157,21,0,1,6,12,147,0,10,7,3,1,1,366,0,9,375,651
