CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,PAN_PRI,MORENA_PVEM_RSP_FXM_PANALT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,URNA_ELECTRONICA,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,600,C,4,0,C04,40,45,18,71,0,40,74,0,0,0,0,5,268,0,561,27,588,0,730,ACTA CASILLA,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,601,B,1,0,B,20,49,5,61,0,27,65,0,0,0,0,1,277,1,505,32,538,0,724,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,601,C,1,0,C01,19,34,2,61,0,30,69,0,0,0,0,1,298,0,514,32,546,0,723,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,601,C,2,0,C02,23,38,9,71,0,36,77,0,0,0,0,0,268,0,522,24,546,0,723,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,601,C,3,0,C03,13,49,6,57,0,28,72,0,0,0,0,2,290,0,517,21,538,0,723,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,45,SANTA APOLONIA TEACALCO,316,B,1,0,B,10,23,34,195,0,14,19,0,0,0,0,0,191,0,486,29,515,0,627,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,45,SANTA APOLONIA TEACALCO,316,C,1,0,C01,7,30,17,188,0,25,20,0,0,0,0,0,198,0,485,29,514,0,626,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,45,SANTA APOLONIA TEACALCO,316,C,2,0,C02,10,18,13,185,0,22,14,0,0,0,0,4,215,0,481,47,528,0,626,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,45,SANTA APOLONIA TEACALCO,317,B,1,0,B,17,36,21,196,0,27,23,0,0,0,0,2,216,2,538,31,571,0,693,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,45,SANTA APOLONIA TEACALCO,317,C,1,0,C01,11,51,31,206,0,23,28,0,0,0,0,1,218,1,569,25,595,0,693,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,45,SANTA APOLONIA TEACALCO,317,C,2,0,C02,12,37,27,201,0,20,26,0,0,0,0,0,223,2,546,41,589,0,693,GRUPO DE RECUENTO,,,
