CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,27,TABASCO,1,CARDENAS,2,CARDENAS,114,C,1,0,C01,0,1,9,41,9,12,9,166,,4,251,0,18,269,486,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0114_C01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,115,B,1,0,B,0,0,6,30,7,9,3,179,,3,237,0,7,244,457,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0115_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,115,C,1,0,C01,0,3,4,23,9,3,7,164,,10,223,0,10,233,456,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0115_C01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,116,B,1,0,B,0,0,3,23,7,3,10,142,,3,191,0,0,191,379,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0116_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,116,C,1,0,C01,0,1,6,31,15,4,5,126,,2,190,0,9,199,379,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0116_C01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,126,B,1,0,B,0,2,4,19,9,4,5,238,,3,284,0,9,293,496,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0126_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,126,C,1,0,C01,0,1,2,28,14,8,7,232,,1,293,0,26,319,496,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0126_C01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,128,B,1,0,B,0,1,5,15,0,3,5,274,,0,303,0,28,331,574,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0128_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,128,C,1,0,C01,0,0,6,6,13,7,5,254,,0,291,0,21,312,574,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0128_C01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,128,E,1,0,E01,0,0,7,19,7,6,7,168,,1,215,0,18,233,320,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0128_E01.jpg
