ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,CAND_IND7,CAND_IND8,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,66,PARACHO,15,46,46,741,679,1055,951,1187,805,7555,1796,459,884,1613,0,0,275,48,65,142,54,9,10,9,18337,7,1132,19476,26498,
16,MICHOACAN,67,PATZCUARO,43,124,125,2968,3180,1986,2326,3295,4054,10220,4234,879,439,1144,0,0,1331,219,170,255,681,109,43,41,37574,63,2442,40079,74755,
16,MICHOACAN,68,PENJAMILLO,19,31,32,262,1772,626,217,742,957,3033,77,61,41,63,0,0,68,17,21,32,79,49,9,6,8132,0,389,8521,16117,
16,MICHOACAN,69,PERIBAN,12,36,36,2723,1146,153,236,1340,1096,2201,648,2215,98,70,0,0,134,17,12,52,104,27,33,3,12308,2,649,12959,22888,
16,MICHOACAN,70,LA PIEDAD,61,144,145,14579,1767,416,1231,1565,2821,14554,192,557,476,316,0,0,1074,132,190,240,945,196,42,8,41301,15,1037,42353,85014,
16,MICHOACAN,71,PUREPERO,11,23,24,591,1085,1318,1309,374,487,1550,188,322,118,55,0,0,17,8,9,5,35,8,4,4,7487,0,487,7974,14106,
16,MICHOACAN,72,PURUANDIRO,46,110,111,1583,4116,1207,1762,1333,3699,7267,724,2099,264,641,0,0,798,135,153,149,392,80,26,47,26475,9,1547,28031,62789,
16,MICHOACAN,73,QUERENDARO,14,22,23,1488,1415,126,237,600,342,1362,67,274,40,115,0,0,246,44,27,47,128,27,10,5,6600,2,345,6947,11591,
16,MICHOACAN,74,QUIROGA,12,35,35,871,397,162,786,118,477,997,90,64,28,69,0,0,19,8,12,12,61,15,9,1,4196,6,268,4470,18623,
16,MICHOACAN,75,COJUMATLAN DE REGULES,9,20,20,245,704,2027,1000,282,165,667,40,4,3,35,0,0,86,20,137,14,164,7,12,20,5632,1,184,5817,8951,
