CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,44,C,5,0,C05,0,448,25,1,3,2,28,59,0,0,8,3,0,0,577,0,7,584,732,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,45,B,1,0,B,0,334,21,0,4,2,11,38,0,0,11,2,0,0,423,0,7,430,523,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,45,C,1,0,C01,0,342,22,2,2,2,13,21,0,0,12,0,1,0,417,0,4,421,522,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,45,C,2,0,C02,0,332,16,1,4,4,18,30,0,0,10,2,0,0,417,0,5,422,522,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,46,B,1,0,B,0,370,22,8,1,2,26,41,0,0,6,1,0,0,477,1,10,488,666,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,46,C,1,0,C01,0,409,13,4,3,1,22,38,0,0,11,0,0,0,501,0,6,507,665,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,46,C,2,0,C02,0,375,20,8,5,3,28,43,0,0,13,3,1,0,499,0,13,512,665,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,47,B,1,0,B,0,449,24,5,1,2,16,39,0,0,15,1,1,0,553,0,3,556,732,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,47,C,1,0,C01,0,478,21,1,2,3,19,46,0,0,10,3,1,0,584,0,3,587,732,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,47,C,2,0,C02,0,477,35,2,1,2,12,40,0,0,11,0,0,0,580,0,5,585,732,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,47,C,3,0,C03,0,485,22,5,5,2,24,40,0,0,5,3,1,0,592,0,6,598,732,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,47,C,4,0,C04,0,427,35,4,4,3,23,76,0,0,13,4,0,0,589,0,7,596,732,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,48,B,1,0,B,0,309,20,2,5,5,26,87,0,0,9,7,0,0,470,0,8,478,651,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,48,C,1,0,C01,0,346,21,3,3,2,23,51,0,0,9,3,0,0,461,0,6,467,650,Acta casilla,,,
