CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MA,FXMG,PSG,PES,PAC,MLGRO,PBG,REGENERACION,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1166,2,2,5,133,5,21,12,4,146,0,0,0,0,5,0,0,0,2,0,0,1,4,9,2,8,357,1,22,380,922
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1167,3,3,17,176,15,24,21,45,187,1,0,0,0,9,0,0,0,3,2,1,0,7,3,0,2,513,0,50,563,1636
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1168,1,1,5,318,15,1,11,1,22,2,0,0,0,2,0,0,0,2,1,0,2,0,0,0,0,382,0,11,393,624
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1169,1,1,5,134,4,5,4,5,88,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,250,0,16,266,390
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1170,2,2,3,571,16,17,10,3,6,1,0,0,0,5,0,0,0,4,2,0,6,0,0,0,0,644,0,42,686,1337
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1171,1,1,0,81,2,12,4,3,105,2,0,0,0,6,0,0,0,0,0,0,0,6,1,1,2,225,0,16,241,465
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1172,2,2,5,213,10,5,9,6,59,1,0,0,0,4,0,0,0,1,0,0,1,0,0,0,1,315,0,18,333,660
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1173,3,3,25,186,14,47,24,15,214,4,0,0,0,9,0,0,0,1,1,0,2,4,6,1,1,554,0,54,608,1281
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1174,1,1,1,44,13,2,10,3,0,1,0,0,0,15,0,0,0,0,0,1,0,2,1,0,0,93,0,12,105,353
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1175,3,3,21,714,26,33,53,17,108,2,0,0,0,4,0,0,0,2,7,0,1,0,1,1,1,991,1,29,1021,2049
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1176,1,1,1,152,0,10,7,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,13,210,467
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1177,3,3,10,232,36,43,27,21,219,3,0,0,0,11,0,0,0,3,0,1,4,17,4,3,6,640,0,53,693,1965
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1178,3,3,5,269,31,29,22,26,195,3,0,0,0,5,0,0,0,3,3,1,4,13,3,3,8,623,0,41,664,1530
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,0,0,1,0,2,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,8
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1179,2,2,2,168,25,17,11,4,102,2,0,0,0,25,0,0,0,6,0,2,2,3,1,0,3,373,0,25,398,1134
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1180,1,1,5,143,14,7,8,3,33,2,0,0,0,1,0,0,0,12,0,0,3,3,0,0,1,235,0,12,247,522
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1181,2,2,14,464,34,30,16,9,51,0,0,0,0,3,0,0,0,21,3,0,4,2,1,1,1,654,0,54,708,1403
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1182,1,1,1,147,4,5,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,7,183,334
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1183,2,2,6,248,16,9,8,2,1,0,0,0,0,1,0,0,0,12,4,0,8,0,1,2,0,318,0,45,363,786
