CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAZ,PES,FMZ,RPZ,MAZ,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_NAZ_PES,PT_NAZ,PT_PES,NAZ_PES,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1198,1,1,4,75,44,44,6,10,115,5,3,0,0,2,0,0,0,0,0,0,0,0,0,308,0,34,342,704
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1199,1,1,15,127,43,87,3,5,50,3,0,0,3,0,0,0,0,0,0,0,0,0,0,336,0,12,348,546
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1200,3,3,34,296,118,216,7,18,198,8,0,0,4,0,0,0,0,0,0,0,0,0,0,899,1,37,937,1551
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1201,1,1,11,112,37,67,3,8,68,5,1,0,2,0,0,0,0,0,0,0,0,0,0,314,0,8,322,536
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1202,3,3,35,324,158,226,12,22,210,22,1,0,11,1,0,0,0,0,0,0,0,0,0,1022,0,28,1050,1793
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1203,3,3,16,212,140,246,6,18,184,13,1,0,8,0,0,0,0,0,0,0,0,0,0,844,0,41,885,1515
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1204,2,2,20,158,96,190,3,13,120,17,1,0,23,1,0,0,0,0,0,0,0,0,0,642,0,40,682,1201
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1205,2,2,18,127,43,104,1,9,148,11,0,0,4,8,0,0,0,0,0,0,0,0,0,473,0,29,502,851
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1206,1,1,10,102,32,89,4,11,109,7,0,0,3,0,0,0,0,0,0,0,0,0,0,367,1,14,382,595
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1207,2,2,16,118,65,92,1,12,67,9,0,0,4,1,0,0,0,0,0,0,0,0,0,385,0,12,397,537
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1208,1,1,13,95,27,56,3,11,42,3,0,0,4,0,0,0,0,0,0,0,0,0,0,254,0,9,263,393
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1209,1,1,13,165,79,56,2,7,101,7,0,0,2,0,0,0,0,0,0,0,0,0,0,432,0,16,448,640
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1210,1,1,23,205,53,56,4,5,70,3,0,0,5,1,0,0,0,0,0,0,0,0,0,425,0,5,430,649
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1211,2,2,17,148,90,88,0,13,75,8,0,0,6,1,0,0,0,0,0,0,0,0,0,446,0,27,473,830
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1212,2,2,22,160,99,123,6,7,166,23,2,0,7,1,0,0,0,0,0,0,0,0,0,616,0,24,640,1175
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1213,2,2,26,109,72,90,2,1,125,22,0,0,17,1,0,0,0,0,0,0,0,0,0,465,0,18,483,789
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1214,2,2,12,147,135,133,4,6,134,15,1,0,21,0,0,0,0,0,0,0,0,0,0,608,0,33,641,1171
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1216,2,2,16,279,98,108,4,11,139,10,1,0,2,1,0,0,0,0,0,0,0,0,0,669,0,36,705,1148
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1217,1,1,15,162,90,44,6,6,79,10,0,0,1,0,0,0,0,0,0,0,0,0,0,413,0,19,432,635
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1218,2,2,4,76,44,145,3,15,150,8,0,0,2,1,0,0,0,0,0,0,0,0,0,448,0,17,465,896
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1219,1,1,3,44,15,92,2,8,138,2,0,0,2,0,0,0,0,0,0,0,0,0,0,306,0,26,332,557
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1220,2,2,4,70,30,38,9,7,197,6,1,0,1,0,0,0,0,0,0,0,0,0,0,363,0,21,384,865
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1221,2,2,3,92,26,43,5,3,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,29,341,765
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1222,1,1,1,111,38,27,0,1,128,3,0,0,1,0,0,0,0,0,0,0,0,0,0,310,0,20,330,522
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1223,1,1,1,114,30,11,2,2,117,2,1,0,1,1,0,0,0,0,0,0,0,0,0,282,0,23,305,466
