CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PNAM,MORENA,PES,MAS,PROGRESA,RSPM,PAN_PRI_PRD_RSPM,PAN_PRI_PRD,PAN_PRI_RSPM,PAN_PRD_RSPM,PRI_PRD_RSPM,PAN_PRI,PAN_PRD,PAN_RSPM,PRI_PRD,PRI_RSPM,PRD_RSPM,MC_PROGRESA,MORENA_PNAM_PES_MAS,MORENA_PNAM_PES,MORENA_PNAM_MAS,MORENA_PES_MAS,PNAM_PES_MAS,MORENA_PNAM,MORENA_PES,MORENA_MAS,PNAM_PES,PNAM_MAS,PES_MAS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,43,2,2,3,1,0,69,228,48,0,123,2,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,0,16,503,821
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,44,3,3,149,21,10,25,19,72,16,481,110,6,64,11,6,9,0,0,1,5,1,0,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1021,0,61,1082,1997
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,45,4,4,241,57,34,36,14,115,17,740,97,6,175,11,7,17,0,0,0,5,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1592,0,41,1633,2468
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,46,2,2,150,9,4,19,4,49,5,365,46,5,53,2,10,6,0,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,735,0,34,769,1172
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,47,3,3,118,19,13,26,11,64,4,421,53,3,61,9,9,7,2,0,0,4,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,836,0,14,850,1658
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,48,3,3,120,21,9,33,11,53,22,379,89,4,86,4,0,5,7,0,0,4,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,855,0,60,915,1819
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,49,2,2,213,61,25,16,3,64,10,340,92,9,104,9,7,5,0,1,0,7,3,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,976,0,39,1015,1446
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,50,3,3,148,45,2,36,2,56,18,404,100,7,82,5,4,11,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,930,0,51,981,1525
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,51,2,2,179,54,10,19,6,53,20,252,31,0,46,14,7,9,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,708,1,25,734,990
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,52,3,3,244,31,12,26,4,60,26,304,112,4,92,12,8,21,0,1,0,5,0,2,1,0,3,6,0,0,0,0,0,0,0,0,0,0,0,974,0,45,1019,1785
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,54,2,2,67,11,3,14,5,42,7,150,35,2,38,10,2,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,392,0,10,402,1401
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,55,5,5,143,46,16,62,23,80,41,408,110,7,91,16,9,11,0,0,0,6,1,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1080,0,65,1145,3113
