CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,2,LAGOS DE MORENO,55,LAGOS DE MORENO,1706,C,4,0,C04,0,85,12,2,10,3,145,93,11,1,5,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,372,0,7,379,601,Acta casilla,,,
1,14,JALISCO,2,LAGOS DE MORENO,55,LAGOS DE MORENO,1707,C,2,0,C02,0,49,19,2,4,4,183,104,3,2,3,2,1,0,1,1,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,1,0,391,1,12,404,702,Acta casilla,,,
1,14,JALISCO,2,LAGOS DE MORENO,55,LAGOS DE MORENO,1708,B,1,0,B,0,22,7,2,6,0,137,116,12,1,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,314,0,12,326,526,Acta casilla,,,
1,14,JALISCO,2,LAGOS DE MORENO,55,LAGOS DE MORENO,1709,B,1,0,B,0,42,15,0,11,2,141,67,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,15,298,519,Acta casilla,,,
1,14,JALISCO,2,LAGOS DE MORENO,55,LAGOS DE MORENO,1710,C,1,0,C01,0,44,0,0,0,0,102,104,0,0,4,0,0,0,1,1,0,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,262,2,9,273,533,Acta casilla,,,
1,14,JALISCO,2,LAGOS DE MORENO,55,LAGOS DE MORENO,1711,C,1,0,C01,0,44,16,4,10,4,159,109,11,1,1,1,0,0,2,1,0,3,0,0,0,1,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,373,0,13,386,677,Acta casilla,,,
1,14,JALISCO,2,LAGOS DE MORENO,55,LAGOS DE MORENO,1711,C,2,0,C02,0,38,6,2,10,3,178,111,9,0,1,1,0,0,1,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,367,0,6,373,676,Acta casilla,,,
1,14,JALISCO,2,LAGOS DE MORENO,55,LAGOS DE MORENO,1712,B,1,0,B,0,33,6,0,7,0,122,80,8,0,3,1,0,0,0,1,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,271,0,6,277,445,Acta casilla,,,
1,14,JALISCO,2,LAGOS DE MORENO,55,LAGOS DE MORENO,1714,B,1,0,B,0,75,8,0,14,4,159,104,5,3,2,1,0,0,1,0,0,5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,384,0,9,393,621,Acta casilla,,,
1,14,JALISCO,2,LAGOS DE MORENO,55,LAGOS DE MORENO,1717,B,1,0,B,0,55,32,0,10,5,177,96,12,1,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,398,0,9,407,644,Acta casilla,,,
