ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PSI,MORENA,NAP,FXM,PAN_PRI_PRD_PSI,PAN_PRI_PRD,PAN_PRI_PSI,PAN_PRD_PSI,PRI_PRD_PSI,PAN_PRI,PAN_PRD,PAN_PSI,PRI_PRD,PRI_PSI,PRD_PSI,PT_PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA_NAP,PT_PVEM_MORENA_FXM,PT_PVEM_NAP_FXM,PT_MORENA_NAP_FXM,PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA,PT_PVEM_NAP,PT_PVEM_FXM,PT_MORENA_NAP,PT_MORENA_FXM,PT_NAP_FXM,PVEM_MORENA_NAP,PVEM_MORENA_FXM,PVEM_NAP_FXM,MORENA_NAP_FXM,PT_PVEM,PT_MORENA,PT_NAP,PT_FXM,PVEM_MORENA,PVEM_NAP,PVEM_FXM,MORENA_NAP,MORENA_FXM,NAP_FXM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,44,CUETZALAN DEL PROGRESO,23,63,63,1394,7196,54,6997,5335,541,254,1020,109,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,50,13,0,0,1,0,0,0,0,0,0,23120,37,1459,24616,36123,
21,PUEBLA,45,CUYOACO,7,19,19,239,4481,198,100,1200,58,75,2539,8,25,0,0,145,0,0,99,0,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9190,2,483,9675,12501,
21,PUEBLA,61,DOMINGO ARENAS,3,8,8,19,36,753,580,54,28,0,372,991,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3546,1,154,3701,5713,
21,PUEBLA,62,ELOXOCHITLAN,8,22,22,21,42,12,15,4384,61,22,2698,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7287,1,316,7604,10096,
21,PUEBLA,63,EPATLAN,2,6,6,357,525,2,0,42,19,0,1273,0,33,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,2417,1,87,2505,3799,
21,PUEBLA,64,ESPERANZA,9,20,20,310,364,494,131,280,125,33,4457,38,60,0,0,7,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6318,1,421,6740,10974,
21,PUEBLA,65,FRANCISCO Z. MENA,10,23,23,2638,428,96,1582,142,352,269,3128,37,66,0,179,0,0,0,88,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9076,0,499,9575,13255,
21,PUEBLA,66,GENERAL FELIPE ANGELES,7,26,26,1924,252,67,321,186,116,962,3316,15,2284,0,234,0,0,0,54,22,0,10,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,22,52,0,0,54,0,0,0,0,0,0,0,0,0,0,0,10064,3,438,10505,15469,
21,PUEBLA,67,GUADALUPE,4,9,9,1422,63,11,215,0,0,0,1541,140,0,0,8,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,3492,2,159,3653,5445,
21,PUEBLA,68,GUADALUPE VICTORIA,10,24,24,447,708,30,4792,715,155,1009,533,65,38,0,86,0,0,0,56,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,8,2,188,0,0,0,0,5,0,0,0,0,0,0,8876,2,343,9221,12988,
