ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,167,TEQUILA,8,20,20,785,1468,202,760,299,335,2165,156,88,33,3,3,90,28,38,16,6469,2,380,6851,11276,
30,VERACRUZ,170,TEXHUACAN,4,8,8,344,489,55,120,181,149,609,108,36,20,5,1,41,11,7,5,2181,4,240,2425,4368,
30,VERACRUZ,172,TEZONAPA,35,74,74,1478,2725,292,1879,491,921,10711,292,238,85,15,21,488,77,210,70,19993,5,940,20938,39194,
30,VERACRUZ,183,TLAQUILPA,3,9,9,297,312,107,202,333,170,1205,97,30,15,2,10,89,24,20,17,2930,1,228,3159,5865,
30,VERACRUZ,184,TLILAPAN,2,7,7,128,140,6,33,28,22,197,10,17,8,0,0,6,5,1,3,604,0,31,635,4278,
30,VERACRUZ,195,XOXOCOTLA,2,6,6,423,91,11,161,143,82,1440,64,8,10,2,1,43,5,15,3,2502,0,117,2619,4203,
30,VERACRUZ,201,ZONGOLICA,28,61,61,2200,2373,1116,2612,692,1160,4581,607,373,113,37,34,340,111,157,58,16564,9,1351,17924,34146,
30,VERACRUZ,5,ACULA,7,9,9,214,93,25,160,68,66,1838,71,16,3,0,2,40,20,20,5,2641,0,73,2714,4193,
30,VERACRUZ,47,COSAMALOAPAN,41,78,78,2148,1277,257,878,609,833,14359,1260,184,61,3,10,694,99,209,113,22994,7,782,23783,41255,
30,VERACRUZ,54,CUICHAPA,7,16,16,365,839,38,208,102,247,3474,63,58,22,0,1,163,17,43,20,5660,1,197,5858,9057,
30,VERACRUZ,56,CHACALTIANGUIS,10,19,19,426,364,43,275,147,251,3606,136,41,15,1,1,120,27,57,23,5533,8,205,5746,8867,
30,VERACRUZ,86,IXMATLAHUACAN,7,11,11,304,59,13,262,101,147,1601,328,18,2,0,1,45,16,20,4,2921,18,105,3044,4732,
30,VERACRUZ,118,OMEALCA,18,33,33,586,1522,56,348,177,458,5892,167,107,42,0,1,261,20,85,29,9751,5,364,10120,16876,
30,VERACRUZ,120,OTATITLAN,5,9,9,246,293,31,96,60,80,1307,39,34,3,1,11,28,12,14,6,2261,0,104,2365,4190,
