CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PUP,NAO,FXMO,MUJER,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,PVEM_MORENA_FXMO,PVEM_MORENA,PVEM_FXMO,MORENA_FXMO,C_PVEM_FXMO,PT_PUP,PT_NAO,PUP_NAO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,170,SAN JOSE TENANGO,968,1,1,1,7,1,0,84,0,79,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,4,189,299
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,170,SAN JOSE TENANGO,969,1,1,2,19,1,18,237,2,253,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,543,0,24,567,698
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,170,SAN JOSE TENANGO,970,3,3,4,27,10,58,416,12,405,1,2,31,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984,0,42,1026,1266
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,170,SAN JOSE TENANGO,971,1,1,1,1,1,4,68,0,102,1,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,13,209,257
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,170,SAN JOSE TENANGO,972,3,3,8,21,6,30,361,8,683,1,2,122,30,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1274,2,49,1325,1719
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,170,SAN JOSE TENANGO,973,1,1,1,2,0,1,31,0,156,0,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,5,223,274
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,170,SAN JOSE TENANGO,974,2,2,1,8,0,28,169,1,240,2,0,28,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,0,19,501,602
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,170,SAN JOSE TENANGO,975,2,2,1,5,2,6,95,3,395,3,0,32,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,545,0,10,555,719
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,170,SAN JOSE TENANGO,976,2,2,4,7,2,25,195,5,341,0,1,23,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,608,0,19,627,829
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,170,SAN JOSE TENANGO,977,3,3,2,4,1,1,58,1,324,3,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,10,415,540
