CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAZ,PES,FMZ,RPZ,MAZ,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_NAZ_PES,PT_NAZ,PT_PES,NAZ_PES,PVEM_MORENA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1796,1,1,72,18,5,9,17,16,49,2,2,6,2,5,6,0,0,0,0,0,1,0,5,0,215,0,1,216,309
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1797,2,3,132,99,15,49,23,71,128,7,5,10,22,18,7,0,0,0,0,0,0,0,10,0,596,4,44,644,373
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1798,1,1,62,45,4,35,30,42,95,5,4,5,7,21,6,3,0,0,2,2,0,0,8,0,376,0,15,391,556
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1799,1,1,43,31,3,36,19,28,91,8,3,1,6,14,3,3,0,0,1,1,0,3,14,0,308,0,16,324,475
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1800,2,2,181,68,17,44,38,46,104,16,9,12,12,17,10,1,0,0,6,1,0,0,6,0,588,0,20,608,839
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1801,3,3,171,127,20,159,76,178,292,42,24,38,30,37,21,2,1,0,6,0,1,1,19,0,1245,3,61,1309,2126
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1802,1,1,55,46,3,20,43,33,88,7,0,14,11,8,11,1,0,0,0,0,0,1,11,0,352,0,19,371,507
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1803,1,1,58,48,2,52,34,40,139,26,7,8,9,12,9,3,0,0,2,1,2,2,12,0,466,0,16,482,686
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1804,1,1,83,65,2,49,23,50,119,8,5,11,4,15,6,0,0,0,3,0,1,1,8,0,453,0,28,481,691
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1805,1,1,47,34,4,41,29,36,77,8,2,6,2,4,7,0,0,0,2,0,1,0,6,0,306,0,20,326,497
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1806,1,1,63,34,3,42,39,45,128,11,7,8,6,11,18,0,0,0,3,0,0,0,13,0,431,0,15,446,618
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1807,2,2,158,128,8,66,46,94,201,19,14,32,19,23,13,5,0,0,4,2,0,0,19,0,851,3,33,887,1215
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1808,1,1,138,24,0,14,11,31,32,2,2,8,7,5,10,1,0,0,0,0,0,0,1,0,286,1,7,294,422
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1809,2,2,251,90,15,33,26,66,118,15,11,8,10,14,21,6,1,0,4,0,0,0,11,0,700,4,12,716,921
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1810,1,1,170,77,14,23,23,46,78,2,5,11,10,6,20,0,0,0,3,0,0,0,9,0,497,1,18,516,734
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1811,1,1,57,28,3,32,37,32,91,4,2,10,9,10,7,1,0,0,1,0,0,0,12,0,336,0,25,361,527
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1812,1,1,73,27,3,28,21,43,78,9,3,7,9,7,14,3,0,0,0,0,0,1,15,0,341,0,15,356,509
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1813,1,1,81,26,6,17,26,46,54,8,7,10,12,13,6,1,0,0,0,1,0,1,6,0,321,0,15,336,468
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1814,1,1,62,13,1,7,5,17,20,3,3,2,2,6,2,0,0,0,0,0,0,0,2,0,145,0,4,149,198
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1815,2,3,141,96,18,53,46,129,177,23,6,21,15,13,10,0,0,0,2,0,1,0,2,0,753,3,37,793,350
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1816,1,1,64,25,1,6,18,26,53,4,1,6,7,4,6,0,1,0,0,1,0,0,8,0,231,0,7,238,303
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1817,1,1,88,39,4,22,23,29,72,4,3,2,9,5,10,1,1,0,2,0,0,0,9,0,323,0,19,342,511
