CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1120,C,4,0,C04,0,184,35,4,18,6,48,113,5,5,4,0,0,1,423,3,9,435,714,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1121,B,1,0,B,0,246,30,8,10,3,21,39,4,4,2,0,0,0,367,0,8,375,615,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1121,C,1,0,C01,0,243,32,6,10,1,19,46,2,9,5,0,1,0,374,0,8,382,615,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1122,B,1,0,B,0,300,37,3,9,1,15,43,3,14,2,0,0,1,428,2,14,444,656,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1122,C,1,0,C01,0,294,53,6,10,1,16,45,2,9,1,0,0,0,437,0,7,444,655,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1122,C,2,0,C02,0,286,38,4,4,3,17,47,3,18,3,0,1,1,425,0,4,429,655,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1123,B,1,0,B,0,251,37,3,10,5,32,55,4,4,9,0,1,1,412,0,18,430,683,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1123,C,1,0,C01,0,249,34,8,18,3,37,80,6,6,3,0,0,1,445,0,5,450,683,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1123,C,2,0,C02,0,248,29,11,6,3,37,68,5,12,2,2,0,0,423,0,17,440,682,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1123,C,3,0,C03,0,251,45,11,13,2,29,72,3,8,5,0,0,0,439,0,12,451,682,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1124,B,1,0,B,0,231,30,3,5,2,11,34,2,4,0,0,1,0,323,0,6,329,506,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1124,C,1,0,C01,0,207,34,5,7,3,10,29,6,6,1,0,0,1,309,0,5,314,506,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1124,C,2,0,C02,0,220,20,9,8,1,17,39,0,6,2,1,0,1,324,0,7,331,506,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1125,B,1,0,B,0,19,2,3,57,4,9,135,4,0,5,0,4,0,242,1,7,250,506,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1125,C,1,0,C01,0,14,6,2,61,1,15,122,1,0,7,0,3,0,232,0,6,238,506,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1125,C,2,0,C02,0,21,0,0,50,2,13,139,1,0,5,0,0,0,231,0,16,247,505,RECONTADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1126,B,1,0,B,0,13,1,6,79,8,16,181,2,0,8,1,6,2,323,0,7,330,646,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1126,C,1,0,C01,0,27,4,3,84,3,14,167,0,0,10,0,2,0,314,0,9,323,646,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1127,B,1,0,B,0,14,5,2,85,3,15,176,4,2,6,0,6,0,318,0,16,334,667,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1127,C,1,0,C01,0,22,4,2,92,0,17,185,0,0,0,0,0,0,322,1,13,336,666,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1127,C,2,0,C02,0,24,9,2,78,9,23,188,2,1,3,0,1,1,341,0,9,350,666,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,73,B,1,0,B,0,36,12,5,96,7,35,218,6,1,19,3,3,3,444,0,5,449,733,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,73,C,1,0,C01,0,31,12,3,99,12,32,170,7,1,16,0,3,3,389,2,15,406,733,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,73,C,2,0,C02,0,16,15,4,97,5,22,190,5,2,14,1,7,5,383,1,12,396,732,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,2,CANCUN,1,BENITO JUAREZ,74,B,1,0,B,0,28,16,2,85,4,25,133,4,2,1,1,1,0,302,0,6,308,518,COTEJADO EN PLENO,,,
