CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNA,PES,FPM,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,6,COLIMA,1,COLIMA,1,COLIMA,46,B,1,0,B,0,39,41,2,12,7,58,78,4,5,0,0,4,4,1,1,1,257,0,10,267,419,ACTA CASILLA,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,46,C,1,0,C01,0,50,31,1,7,6,65,86,2,8,0,0,9,9,3,0,0,277,0,9,286,419,ACTA CASILLA,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,47,B,1,0,B,0,84,61,2,5,9,101,94,11,4,0,0,8,4,1,0,0,384,0,13,397,583,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,47,C,1,0,C01,0,83,58,6,5,2,98,99,10,6,0,0,10,8,4,0,1,390,0,12,402,583,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,48,B,1,0,B,0,91,62,4,2,2,78,67,6,4,0,0,10,4,2,0,1,333,0,8,341,537,ACTA CASILLA,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,48,C,1,0,C01,0,77,51,5,10,5,95,75,4,5,0,0,4,10,1,1,1,344,0,20,364,536,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,49,B,1,0,B,0,47,41,3,1,2,58,30,3,5,0,0,6,2,0,0,0,198,0,8,206,315,ACTA DEL CONSEJO,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,50,B,1,0,B,0,63,35,6,5,1,52,41,10,2,0,0,2,5,0,0,1,223,0,3,226,396,ACTA CASILLA,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,50,C,1,0,C01,0,46,26,1,5,3,69,48,10,6,0,0,5,9,1,1,0,230,1,7,238,395,ACTA DEL CONSEJO,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,51,B,1,0,B,0,45,40,2,8,10,45,38,6,3,0,0,5,7,1,1,2,213,0,8,221,376,ACTA DEL CONSEJO,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,51,C,1,0,C01,0,42,41,0,2,2,45,55,6,4,0,0,7,4,3,2,0,213,0,6,219,376,ACTA DEL CONSEJO,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,52,B,1,0,B,0,53,45,1,13,9,68,95,4,9,0,0,9,11,5,3,3,328,0,13,341,515,ACTA DEL CONSEJO,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,52,C,1,0,C01,0,55,39,1,17,12,84,92,8,9,0,0,5,8,2,1,1,334,0,10,344,515,ACTA DEL CONSEJO,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,52,C,2,0,C02,0,61,42,3,17,4,59,93,13,12,0,0,4,4,2,2,0,316,0,7,323,515,ACTA CASILLA,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,53,B,1,0,B,0,72,43,9,15,7,92,118,6,5,0,0,2,14,5,2,1,391,0,15,406,656,ACTA CASILLA,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,53,C,1,0,C01,0,58,50,6,12,4,91,116,5,5,0,0,9,7,2,1,2,368,2,9,379,655,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,54,B,1,0,B,0,76,60,4,13,7,97,113,8,7,0,0,4,11,1,0,4,405,0,11,416,642,ACTA CASILLA,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,54,C,1,0,C01,0,101,60,4,10,7,100,96,12,8,0,0,13,6,0,0,0,417,2,8,427,641,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,54,C,2,0,C02,0,91,44,5,13,10,107,109,14,7,0,0,12,5,1,2,0,420,0,12,432,641,ACTA CASILLA,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,54,C,3,0,C03,0,79,63,7,12,7,95,98,14,3,0,0,7,7,2,0,0,394,1,7,402,641,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,54,S,1,0,S01,0,12,10,0,2,1,11,29,3,1,0,0,0,2,0,0,0,71,0,7,78,0,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,55,B,1,0,B,0,42,37,1,5,8,67,78,6,6,0,0,9,8,1,1,0,269,0,10,279,502,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,55,C,1,0,C01,0,43,48,2,9,10,56,76,4,4,0,0,4,6,3,1,0,266,2,11,279,502,ACTA CASILLA,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,56,B,1,0,B,0,88,52,2,6,2,69,54,11,3,0,0,4,5,0,0,0,296,0,12,308,435,ACTA CASILLA,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,57,B,1,0,B,0,115,44,1,7,8,99,90,9,3,0,0,6,10,1,0,1,394,0,16,410,708,ACTA CASILLA,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,58,B,1,0,B,0,67,33,1,5,7,82,88,6,5,0,0,3,4,1,2,2,306,0,15,321,506,ACTA DEL CONSEJO,,,
