CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNA,PES,FPM,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,6,COLIMA,1,COLIMA,1,COLIMA,42,1,1,76,43,4,6,7,78,79,6,4,0,0,7,4,1,0,1,316,0,6,322,544
5,6,COLIMA,1,COLIMA,1,COLIMA,43,2,2,81,86,8,14,13,142,130,11,8,0,0,8,15,3,3,1,523,1,22,546,948
5,6,COLIMA,1,COLIMA,1,COLIMA,44,1,1,55,28,2,3,2,60,55,4,3,0,0,4,9,2,0,1,228,0,2,230,402
5,6,COLIMA,1,COLIMA,1,COLIMA,45,2,2,183,112,9,28,20,196,261,20,7,0,0,18,24,10,7,3,898,1,36,935,1472
5,6,COLIMA,1,COLIMA,1,COLIMA,46,2,2,89,72,3,19,13,123,164,6,13,0,0,13,13,4,1,1,534,0,19,553,838
5,6,COLIMA,2,COLIMA,1,COLIMA,47,2,2,167,119,8,10,11,199,193,21,10,0,0,18,12,5,0,1,774,0,25,799,1166
5,6,COLIMA,2,COLIMA,1,COLIMA,48,2,2,168,113,9,12,7,173,142,10,9,0,0,14,14,3,1,2,677,0,28,705,1073
5,6,COLIMA,2,COLIMA,1,COLIMA,49,1,1,47,41,3,1,2,58,30,3,5,0,0,6,2,0,0,0,198,0,8,206,315
5,6,COLIMA,1,COLIMA,1,COLIMA,50,2,2,109,61,7,10,4,121,89,20,8,0,0,7,14,1,1,1,453,1,10,464,791
5,6,COLIMA,1,COLIMA,1,COLIMA,51,2,2,87,81,2,10,12,90,93,12,7,0,0,12,11,4,3,2,426,0,14,440,752
5,6,COLIMA,1,COLIMA,1,COLIMA,52,3,3,169,126,5,47,25,211,280,25,30,0,0,18,23,9,6,4,978,0,30,1008,1545
5,6,COLIMA,1,COLIMA,1,COLIMA,53,2,2,130,93,15,27,11,183,234,11,10,0,0,11,21,7,3,3,759,2,24,785,1311
5,6,COLIMA,2,COLIMA,1,COLIMA,54,5,5,359,237,20,50,32,410,445,51,26,0,0,36,31,4,2,4,1707,3,45,1755,2565
5,6,COLIMA,2,COLIMA,1,COLIMA,55,2,2,85,85,3,14,18,123,154,10,10,0,0,13,14,4,2,0,535,2,21,558,1004
5,6,COLIMA,2,COLIMA,1,COLIMA,56,1,1,88,52,2,6,2,69,54,11,3,0,0,4,5,0,0,0,296,0,12,308,435
5,6,COLIMA,1,COLIMA,1,COLIMA,57,1,1,115,44,1,7,8,99,90,9,3,0,0,6,10,1,0,1,394,0,16,410,708
5,6,COLIMA,1,COLIMA,1,COLIMA,58,2,2,139,81,1,12,9,145,160,11,6,0,0,9,10,1,2,4,590,0,32,622,1012
5,6,COLIMA,1,COLIMA,1,COLIMA,59,2,2,90,42,8,26,29,90,183,11,14,0,0,9,33,2,5,1,543,0,23,566,1090
5,6,COLIMA,1,COLIMA,1,COLIMA,60,14,14,696,361,47,153,107,953,1480,76,95,0,0,66,129,33,16,21,4233,4,153,4390,8596
5,6,COLIMA,3,COLIMA,1,COLIMA,61,3,3,141,82,8,40,41,218,326,18,19,0,0,11,41,6,3,1,955,0,36,991,2031
5,6,COLIMA,2,COLIMA,1,COLIMA,63,2,2,131,52,11,19,19,144,228,12,17,0,0,6,15,0,1,6,661,0,32,693,1137
5,6,COLIMA,2,COLIMA,1,COLIMA,64,2,2,131,59,6,23,16,150,236,16,13,0,0,15,19,5,0,4,693,1,27,721,1126
5,6,COLIMA,2,COLIMA,1,COLIMA,65,4,4,234,142,12,21,22,311,361,18,41,0,0,19,25,5,3,6,1220,2,38,1260,2258
5,6,COLIMA,2,COLIMA,1,COLIMA,66,2,2,96,115,6,14,17,133,191,12,13,0,0,8,16,1,0,3,625,0,21,646,1049
5,6,COLIMA,2,COLIMA,1,COLIMA,67,2,2,109,98,6,7,8,107,132,25,16,0,0,10,16,3,0,0,537,0,22,559,903
5,6,COLIMA,1,COLIMA,1,COLIMA,68,3,3,249,157,10,46,19,207,262,28,13,0,0,16,28,5,4,0,1044,0,33,1077,1775
5,6,COLIMA,1,COLIMA,1,COLIMA,69,7,7,413,221,21,74,54,517,718,44,57,0,0,42,50,16,6,10,2243,0,80,2323,4326
5,6,COLIMA,1,COLIMA,1,COLIMA,70,2,2,255,135,7,12,9,143,100,12,9,0,0,13,5,1,0,0,701,0,13,714,1080
5,6,COLIMA,1,COLIMA,1,COLIMA,71,2,2,88,64,0,10,8,104,156,13,3,0,0,6,6,2,1,0,461,0,8,469,885
5,6,COLIMA,1,COLIMA,1,COLIMA,72,2,2,73,35,3,6,12,110,135,11,6,0,0,9,8,3,2,1,414,0,15,429,765
