CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,PAN_PRI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,27,TABASCO,1,CARDENAS,2,CARDENAS,86,B,1,0,B,0,3,7,26,17,12,22,267,0,0,4,2,0,360,1,15,376,653,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0086_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,86,C,1,0,C01,0,6,6,29,12,10,11,273,13,1,4,2,0,367,1,8,376,653,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0086_C01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,86,C,2,0,C02,0,2,3,4,14,31,13,279,10,0,1,0,2,359,0,10,369,652,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0086_C02.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,86,C,3,0,C03,0,3,7,36,3,6,12,272,15,0,6,2,0,362,0,5,367,652,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0086_C03.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,86,C,4,0,C04,0,3,9,19,13,9,9,279,11,0,3,1,0,356,0,8,364,652,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0086_C04.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,102,B,1,0,B,0,1,5,19,3,7,5,142,12,0,8,2,0,204,0,2,206,315,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0102_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,102,E,1,0,E01,0,2,3,14,15,6,3,288,9,0,0,0,0,340,0,10,350,623,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0102_E01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,112,B,1,0,B,0,2,2,8,8,7,2,307,0,0,0,0,0,336,0,0,336,541,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0112_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,112,C,1,0,C01,0,2,1,12,7,4,3,253,13,1,5,0,0,301,0,8,309,541,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0112_C01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,113,B,1,0,B,0,0,0,20,9,3,4,187,15,0,0,0,1,239,0,9,248,428,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0113_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,113,C,1,0,C01,0,0,0,26,4,8,2,198,0,0,0,0,0,238,0,11,249,427,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0113_C01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,114,B,1,0,B,0,0,7,75,9,10,5,158,1,4,0,0,0,269,0,15,284,486,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0114_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,114,C,1,0,C01,0,0,6,35,7,10,2,182,9,0,3,2,0,256,0,13,269,486,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0114_C01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,115,B,1,0,B,0,4,4,26,8,8,3,171,7,0,4,2,0,237,0,8,245,457,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0115_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,115,C,1,0,C01,0,2,1,19,5,4,5,173,8,0,0,4,0,221,0,12,233,456,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0115_C01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,116,B,1,0,B,0,0,6,18,11,3,6,136,8,5,3,1,0,197,0,13,210,379,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0116_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,116,C,1,0,C01,0,3,5,28,11,5,2,138,6,0,5,0,0,203,0,7,210,379,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0116_C01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,126,B,1,0,B,0,4,2,17,13,3,1,250,6,0,5,1,0,302,0,7,309,496,Grupo de recuento,,,http://iepct.mx/computos/2024/GUB/1/acta_recuento/GRUPO01.pdf
