CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN_PRI_PRD_PRS_PHBCS,MORENA_PT_PVEM_NABCS,MC,FXMBCS,MLBCS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,54,C,1,0,C01,0,27,108,26,5,16,182,0,10,192,420,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,54,E,1,0,E01,0,10,66,11,1,14,102,0,7,109,184,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,55,B,1,0,B,0,21,140,39,2,10,212,0,11,223,412,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,56,B,1,0,B,0,53,221,35,5,9,323,0,9,332,640,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,57,B,1,0,B,0,79,225,38,9,15,366,0,18,384,689,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,58,B,1,0,B,0,69,83,24,10,11,197,0,13,210,518,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,59,B,1,0,B,0,28,162,38,5,7,240,0,12,252,541,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,59,C,1,0,C01,0,37,143,38,6,1,225,0,4,229,541,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,60,B,1,0,B,0,17,132,29,2,4,184,0,7,191,385,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,60,C,1,0,C01,0,21,110,31,1,4,167,0,3,170,384,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,61,B,1,0,B,0,35,178,29,2,7,251,0,16,267,633,Grupo de recuento,,,
