ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_NAY,PAN_PRI,PAN_NAY,PRI_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,56,OXKUTZCAB,16,41,41,1636,4215,91,353,705,181,7492,815,120,75,13,20,237,27,36,71,16087,3,453,16543,24194,
31,YUCATAN,57,PANABA,6,11,11,2210,180,4,47,46,36,2614,0,10,21,0,0,34,8,7,13,5230,0,74,5304,6083,
31,YUCATAN,58,PETO,17,31,31,2464,1067,41,1078,372,969,5710,48,234,155,84,53,299,47,187,154,12962,2,225,13189,18070,
31,YUCATAN,59,PROGRESO,30,78,78,8931,592,162,517,666,882,13913,77,114,157,12,0,658,40,144,381,27246,5,803,28054,49340,
31,YUCATAN,60,QUINTANA ROO,1,2,2,307,6,1,183,11,9,265,66,0,0,0,0,1,0,2,2,853,0,16,869,966,
31,YUCATAN,61,RIO LAGARTOS,3,6,6,807,170,4,144,40,21,1383,2,5,26,0,0,19,3,10,3,2637,2,59,2698,3031,
31,YUCATAN,62,SACALUM,3,7,7,737,27,4,43,967,556,953,3,1,13,0,0,27,4,2,44,3381,1,96,3478,3968,
31,YUCATAN,63,SAMAHIL,3,8,8,787,81,17,1310,95,93,930,500,2,1,15,4,26,7,14,11,3893,0,65,3958,4425,
31,YUCATAN,64,SANAHCAT,1,2,2,407,29,2,34,23,123,512,210,1,3,2,1,4,0,1,2,1354,0,37,1391,1482,
31,YUCATAN,65,SAN FELIPE,2,4,4,227,695,0,18,21,8,684,2,2,23,0,0,22,2,3,9,1716,0,16,1732,1946,
31,YUCATAN,66,SANTA ELENA,3,6,6,1253,10,7,26,40,26,1127,65,2,1,2,0,5,4,5,3,2576,0,40,2616,3294,
31,YUCATAN,67,SEYE,5,13,13,1796,37,386,78,109,143,2242,8,3,12,1,0,69,8,12,12,4916,0,150,5066,8041,
31,YUCATAN,68,SINANCHE,3,5,5,777,92,1,582,420,202,346,3,4,9,1,0,7,2,4,9,2459,0,30,2489,2750,
31,YUCATAN,69,SOTUTA,7,12,12,659,85,18,2322,63,81,1383,43,2,2,0,0,13,2,12,2,4687,0,77,4764,6738,
31,YUCATAN,70,SUCILA,2,5,5,923,281,3,106,65,20,1209,3,3,6,1,0,22,4,4,0,2650,0,86,2736,3150,
31,YUCATAN,71,SUDZAL,2,3,3,593,18,2,11,15,8,817,1,0,1,1,0,7,0,1,1,1476,0,25,1501,1657,
