CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PNAM,MORENA,PES,MAS,PROGRESA,RSPM,PAN_PRI_PRD_RSPM,PAN_PRI_PRD,PAN_PRI_RSPM,PAN_PRD_RSPM,PRI_PRD_RSPM,PAN_PRI,PAN_PRD,PAN_RSPM,PRI_PRD,PRI_RSPM,PRD_RSPM,MC_PROGRESA,MORENA_PNAM_PES_MAS,MORENA_PNAM_PES,MORENA_PNAM_MAS,MORENA_PES_MAS,PNAM_PES_MAS,MORENA_PNAM,MORENA_PES,MORENA_MAS,PNAM_PES,PNAM_MAS,PES_MAS,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,41,2,2,20,5,2,5,81,432,1,91,1,2,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,0,24,696,1008
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,42,1,1,8,3,0,0,89,97,1,46,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,3,255,367
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,44,3,3,265,27,24,16,7,24,47,344,94,20,48,25,25,12,3,0,1,8,2,2,0,0,0,6,18,1,1,3,2,8,0,0,3,0,0,0,0,0,1036,0,44,1080,1997
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,45,4,4,435,86,48,18,8,38,41,539,145,17,73,23,28,26,0,1,0,8,3,1,0,0,0,9,23,5,0,2,0,4,12,0,2,1,0,0,0,0,1596,0,30,1626,2468
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,46,2,2,208,20,18,7,2,19,31,270,61,14,28,6,11,19,3,0,0,3,0,0,0,0,0,1,12,0,1,1,0,1,4,0,1,0,0,0,0,0,741,0,29,770,1172
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,47,3,3,223,33,22,14,7,26,25,321,46,10,46,12,7,21,11,1,0,4,0,0,0,1,0,4,10,4,1,2,0,8,1,0,1,0,0,0,0,0,861,0,26,887,1658
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,48,3,3,198,38,11,11,9,17,44,318,71,23,37,8,12,8,0,1,1,6,1,0,0,0,0,10,31,5,0,3,0,0,4,1,1,0,2,0,0,0,871,0,49,920,1819
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,49,2,2,285,103,34,13,1,14,52,242,82,53,30,20,9,12,3,0,0,8,5,1,1,0,0,2,14,3,0,0,0,1,2,6,4,0,0,0,0,0,1000,0,13,1013,1446
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,50,3,3,202,56,25,17,4,10,67,341,64,21,39,7,6,18,2,15,1,1,3,0,0,0,0,5,25,3,1,0,0,12,1,4,1,1,1,0,0,0,953,0,28,981,1525
4,17,MORELOS,10,YECAPIXTLA,4,AYALA,51,2,2,246,78,27,5,3,7,72,156,30,10,8,24,11,15,0,0,0,1,0,0,0,0,0,3,16,1,0,0,0,3,3,0,0,0,0,0,0,0,719,0,6,725,990
