CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_ELECCION,NOMBRE_PARTICIPANTE,NUMERO_LISTA,CANDIDATO,SEXO_CANDIDATO,RUTA_CONSTANCIA,PARTIDO
1,18,NAYARIT,,,17,TEPIC,,,REG_RP,PAN,1,JUAN ALBERTO GUERRERO GUTIERREZ,1,,PAN
1,18,NAYARIT,,,17,TEPIC,,,REG_RP,PVEM,1,DINORA MEMLING RIVAS MARMOLEJO,2,,PVEM
1,18,NAYARIT,,,17,TEPIC,,,REG_RP,MC,1,LUIS ALBERTO ZAMORA ROMERO,1,,MC
1,18,NAYARIT,,,17,TEPIC,,,REG_RP,MORENA,1,ESTEFANIA VALENCIA ZAVALA,2,,MORENA
1,18,NAYARIT,,,17,TEPIC,,,REG_RP,MORENA,3,ALICIA CASTILLO ZAMBRANO,2,,MORENA
1,18,NAYARIT,,,18,TUXPAN,,,REG_RP,MC,1,DARIO TOVAR RUVALCABA,1,,MC
1,18,NAYARIT,,,18,TUXPAN,,,REG_RP,MORENA,2,ISABELLA NAOMI SOLTERO CARRILLO,2,,MORENA
1,18,NAYARIT,,,18,TUXPAN,,,REG_RP,RSPN,1,SUE GUADALUPE VENEGAS MALDONADO,2,,RSPN
1,18,NAYARIT,,,19,XALISCO,,,REG_RP,PAN,1,SONIA ESTELA GARCIA TORRES,2,,PAN
1,18,NAYARIT,,,19,XALISCO,,,REG_RP,MC,1,ANA BERTHA MARQUEZ DUARTE,2,,MC
1,18,NAYARIT,,,19,XALISCO,,,REG_RP,MORENA,1,HIPOLITO ESQUEDA FRAUSTO,1,,MORENA
1,18,NAYARIT,,,19,XALISCO,,,REG_RP,MORENA,2,MAYRA GUADALUPE GONZALEZ JIMENEZ,2,,MORENA
1,18,NAYARIT,,,20,LA YESCA,,,REG_RP,MC,1,ELIBERTO FRAUSTO PEREZ,1,,MC
1,18,NAYARIT,,,20,LA YESCA,,,REG_RP,MORENA,1,YESENIA LOPEZ VILLAGRANA,2,,MORENA
