CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAH,C_PAN_PRI_PRD,C_MORENA_NAH,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,13,HIDALGO,8,ACTOPAN,51,SAN AGUSTIN TLAXIACA,1009,C,1,0,C01,0,0,0,0,38,45,142,0,0,59,196,480,0,17,497,651,Grupo de recuento,,,
4,13,HIDALGO,8,ACTOPAN,51,SAN AGUSTIN TLAXIACA,1009,C,2,0,C02,0,0,0,0,47,44,98,0,0,63,163,415,0,21,436,651,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,51,SAN AGUSTIN TLAXIACA,1010,B,1,0,B,0,0,0,0,31,42,114,0,0,51,225,463,0,21,484,716,Grupo de recuento,,,
4,13,HIDALGO,8,ACTOPAN,51,SAN AGUSTIN TLAXIACA,1010,C,1,0,C01,0,0,0,0,62,32,98,0,0,42,227,461,0,30,491,716,Grupo de recuento,,,
4,13,HIDALGO,8,ACTOPAN,51,SAN AGUSTIN TLAXIACA,1010,C,2,0,C02,0,0,0,0,49,31,107,0,0,54,240,481,1,18,500,716,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,51,SAN AGUSTIN TLAXIACA,1010,C,3,0,C03,0,0,0,0,33,54,104,0,0,45,227,463,1,28,492,716,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,51,SAN AGUSTIN TLAXIACA,1011,B,1,0,B,0,0,0,0,29,33,117,0,0,43,208,430,2,27,459,659,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,51,SAN AGUSTIN TLAXIACA,1011,C,1,0,C01,0,0,0,0,27,38,121,0,0,39,210,435,1,32,468,659,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,51,SAN AGUSTIN TLAXIACA,1011,C,2,0,C02,0,0,0,0,20,40,128,0,0,41,198,427,2,22,451,659,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,51,SAN AGUSTIN TLAXIACA,1011,C,3,0,C03,0,0,0,0,35,39,102,0,0,49,207,432,1,26,459,658,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,51,SAN AGUSTIN TLAXIACA,1012,B,1,0,B,0,0,0,0,31,95,87,0,0,63,174,450,0,33,483,689,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,51,SAN AGUSTIN TLAXIACA,1013,B,1,0,B,0,0,0,0,22,36,107,0,0,59,247,471,0,23,494,731,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,51,SAN AGUSTIN TLAXIACA,1013,C,1,0,C01,0,0,0,0,9,36,110,0,0,81,210,446,0,28,474,731,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,51,SAN AGUSTIN TLAXIACA,1013,C,2,0,C02,0,0,0,0,13,45,86,0,0,60,221,425,0,23,448,731,Grupo de recuento,,,
4,13,HIDALGO,8,ACTOPAN,51,SAN AGUSTIN TLAXIACA,1014,B,1,0,B,0,0,0,0,20,28,77,0,0,49,176,350,0,21,371,582,Grupo de recuento,,,
