CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_ELECCION,NOMBRE_PARTICIPANTE,NUMERO_LISTA,PERSONA_CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
2,19,NUEVO LEON,,,12,CIENEGA DE FLORES,,,REG_MR,PVEM_MORENA,2,OVIDIO MARTINEZ DIAZ,1,,,PVEM
2,19,NUEVO LEON,,,12,CIENEGA DE FLORES,,,REG_MR,PVEM_MORENA,3,MARISELA CHAPA CAZARES,2,,,MORENA
2,19,NUEVO LEON,,,12,CIENEGA DE FLORES,,,REG_MR,PVEM_MORENA,4,GILBERTO QUIROGA GONZALEZ,1,CANDIDATURAS DE PERSONAS JOVENES,,MORENA
2,19,NUEVO LEON,,,12,CIENEGA DE FLORES,,,REG_MR,PVEM_MORENA,5,YANET GOMEZ JOSE,2,,,PVEM
2,19,NUEVO LEON,,,12,CIENEGA DE FLORES,,,REG_MR,PVEM_MORENA,6,JORGE LUIS VEGA SALDAÑA,1,,,MORENA
2,19,NUEVO LEON,,,12,CIENEGA DE FLORES,,,REG_MR,PVEM_MORENA,7,MARISOL ALVARADO RODRIGUEZ,2,,,PVEM
2,19,NUEVO LEON,,,12,CIENEGA DE FLORES,,,SIND_MR,PVEM_MORENA,1,RAUL PATRICIO SAENZ SANTOS,1,,,PVEM
2,19,NUEVO LEON,,,12,CIENEGA DE FLORES,,,SIND_MR,PVEM_MORENA,2,CYNTIA CONCEPCION SAENZ DIAZ,2,,,PVEM
2,19,NUEVO LEON,,,13,CHINA,,,PRES_MUN,PVEM,1,ALEJO RODRIGUEZ CANTU,1,,,PVEM
2,19,NUEVO LEON,,,13,CHINA,,,REG_MR,PVEM,1,SILVIA MARGARITA CHAPA VILLARREAL,2,,,PVEM
2,19,NUEVO LEON,,,13,CHINA,,,REG_MR,PVEM,2,JAVIER CANTU RODRIGUEZ,1,,,PVEM
2,19,NUEVO LEON,,,13,CHINA,,,REG_MR,PVEM,3,CECILIA CANTU CANTU,2,CANDIDATURAS DE PERSONAS JOVENES,,PVEM
