CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1294,C,1,0,C01,0,3,12,2,0,0,32,0,0,0,6,0,0,0,0,0,198,0,0,0,0,0,0,253,0,13,266,460,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1294,E,1,0,E01,0,4,8,2,0,0,10,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,73,0,4,77,149,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1295,B,1,0,B,0,5,22,3,0,0,25,0,0,0,7,4,0,0,1,0,251,0,0,0,0,0,0,318,1,16,335,604,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1295,C,1,0,C01,0,8,20,3,0,0,18,0,0,0,4,4,0,0,0,0,239,0,0,0,0,0,0,296,0,22,318,604,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1296,B,1,0,B,0,8,7,3,0,0,30,0,0,0,10,0,0,0,0,0,241,0,0,0,0,0,0,299,0,8,307,542,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1296,C,1,0,C01,0,6,11,2,0,0,41,0,0,0,5,0,0,0,0,0,247,0,0,0,0,0,0,312,0,3,315,541,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1297,B,1,0,B,0,11,10,4,0,0,24,0,0,0,13,1,0,0,1,0,294,0,0,0,0,0,0,358,0,19,377,636,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1297,C,1,0,C01,0,9,16,11,0,0,23,0,0,0,8,0,0,0,0,0,295,0,0,0,0,0,0,362,0,12,374,635,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1297,C,2,0,C02,0,11,15,8,0,0,14,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,351,16,9,376,635,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1298,B,1,0,B,0,9,28,4,0,0,16,0,0,0,16,0,0,0,0,0,154,0,0,0,0,0,0,227,0,0,227,459,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1298,C,1,0,C01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1298,E,1,0,E01,0,3,12,1,0,0,14,0,0,0,2,1,0,0,0,0,91,0,0,0,0,0,0,124,0,3,127,235,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1300,B,1,0,B,0,10,33,6,0,0,17,0,0,0,10,5,0,0,0,0,256,0,0,0,0,0,0,337,0,24,361,683,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1300,C,1,0,C01,0,6,32,4,0,0,35,0,0,0,20,3,2,0,0,0,231,0,0,0,0,0,0,333,0,29,362,682,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1300,C,2,0,C02,0,16,17,4,0,0,22,0,0,0,23,2,0,1,0,0,286,0,0,0,0,0,0,371,0,9,380,682,GRUPO DE RECUENTO,,,
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1109,B,1,0,B,0,15,132,3,0,0,75,0,0,0,3,16,4,0,0,0,220,0,0,0,0,0,0,468,0,5,473,732,GRUPO DE RECUENTO,,,
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1109,C,1,0,C01,0,6,112,4,0,0,57,0,0,0,8,5,2,0,0,0,241,0,0,0,0,0,0,435,0,7,442,732,GRUPO DE RECUENTO,,,
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1109,C,2,0,C02,0,20,78,2,0,0,67,0,0,0,3,7,4,0,0,0,249,0,0,0,0,0,0,430,0,10,440,732,GRUPO DE RECUENTO,,,
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1109,C,3,0,C03,0,13,120,2,0,0,52,0,0,0,1,6,0,0,0,0,228,0,0,0,0,0,0,422,0,8,430,732,GRUPO DE RECUENTO,,,
