CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,26,SONORA,5,NOGALES,30,NOGALES,219,2,2,45,15,2,,,38,,,,13,2,0,0,0,,186,71,,,,,,372,2,21,395,1141
1,26,SONORA,5,NOGALES,30,NOGALES,220,4,4,72,27,9,,,90,,,,20,12,2,0,0,,482,233,,,,,,947,0,37,984,2636
1,26,SONORA,5,NOGALES,30,NOGALES,221,11,11,324,119,27,,,253,,,,60,17,11,1,0,,1639,519,,,,,,2970,1,101,3072,7945
1,26,SONORA,5,NOGALES,30,NOGALES,231,3,3,80,43,4,,,85,,,,7,19,2,1,0,,358,101,,,,,,700,0,23,723,1806
1,26,SONORA,5,NOGALES,30,NOGALES,1368,1,1,85,40,2,,,57,,,,10,11,1,1,0,,143,63,,,,,,413,0,6,419,714
1,26,SONORA,5,NOGALES,30,NOGALES,1369,1,1,32,8,1,,,31,,,,8,2,0,0,0,,121,58,,,,,,261,0,2,263,516
1,26,SONORA,5,NOGALES,30,NOGALES,1370,2,2,22,11,2,,,36,,,,21,0,0,1,0,,162,113,,,,,,368,0,6,374,804
1,26,SONORA,5,NOGALES,30,NOGALES,1371,1,1,17,10,2,,,37,,,,10,1,0,0,0,,140,71,,,,,,288,0,5,293,709
1,26,SONORA,5,NOGALES,30,NOGALES,1372,1,1,25,5,5,,,28,,,,4,2,0,0,0,,177,67,,,,,,313,0,5,318,716
1,26,SONORA,5,NOGALES,30,NOGALES,1373,2,2,27,16,2,,,30,,,,12,0,0,0,0,,235,125,,,,,,447,0,0,447,1262
1,26,SONORA,5,NOGALES,30,NOGALES,1374,1,1,0,0,0,,,21,,,,1,15,0,0,0,,101,41,,,,,,179,0,2,181,411
1,26,SONORA,5,NOGALES,30,NOGALES,1375,1,1,22,2,2,,,19,,,,3,1,1,0,0,,144,68,,,,,,262,0,7,269,714
1,26,SONORA,5,NOGALES,30,NOGALES,1376,2,2,35,16,4,,,37,,,,4,1,1,0,0,,289,147,,,,,,534,0,8,542,1295
1,26,SONORA,5,NOGALES,30,NOGALES,1377,3,3,38,21,4,,,64,,,,19,3,0,0,0,,338,151,,,,,,638,0,12,650,1597
1,26,SONORA,5,NOGALES,30,NOGALES,1378,2,2,50,19,5,,,43,,,,10,0,0,0,0,,288,161,,,,,,576,0,7,583,1423
1,26,SONORA,5,NOGALES,30,NOGALES,1379,2,2,37,24,3,,,64,,,,10,1,4,0,0,,189,81,,,,,,413,0,6,419,803
1,26,SONORA,5,NOGALES,30,NOGALES,1380,1,1,43,11,3,,,28,,,,6,1,1,0,0,,135,63,,,,,,291,0,7,298,596
1,26,SONORA,5,NOGALES,30,NOGALES,1381,1,1,15,10,0,,,27,,,,4,0,0,0,0,,123,66,,,,,,245,0,3,248,596
1,26,SONORA,5,NOGALES,30,NOGALES,1382,1,1,15,16,1,,,34,,,,7,1,0,1,0,,161,73,,,,,,309,0,10,319,735
1,26,SONORA,5,NOGALES,30,NOGALES,1383,1,1,24,7,1,,,17,,,,9,2,0,0,0,,175,47,,,,,,282,0,9,291,549
1,26,SONORA,5,NOGALES,30,NOGALES,1384,2,2,46,16,7,,,56,,,,10,4,1,0,0,,236,118,,,,,,494,0,11,505,1060
1,26,SONORA,5,NOGALES,30,NOGALES,1385,3,3,65,18,5,,,64,,,,21,7,2,0,0,,369,208,,,,,,759,0,14,773,1943
1,26,SONORA,5,NOGALES,30,NOGALES,1386,3,3,54,21,9,,,69,,,,12,0,0,0,0,,338,154,,,,,,657,0,10,667,1688
1,26,SONORA,5,NOGALES,30,NOGALES,1387,2,2,30,17,5,,,48,,,,15,0,1,0,0,,248,130,,,,,,494,0,13,507,1392
1,26,SONORA,5,NOGALES,30,NOGALES,1388,2,2,29,19,3,,,22,,,,6,2,0,1,0,,169,85,,,,,,336,0,4,340,764
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,0,0,1,3,1,1,0,0,3,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,22,0,1,23,20
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,353,2,2,56,63,15,,,86,,,,16,8,3,0,2,,240,,,,,,,489,0,25,514,1075
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,354,2,2,66,57,17,,,86,,,,10,3,2,0,0,,321,,,,,,,562,0,17,579,1235
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,355,2,2,145,107,17,,,103,,,,16,10,6,0,1,,333,,,,,,,738,0,16,754,1283
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,356,2,2,104,96,18,,,73,,,,16,12,4,1,0,,250,,,,,,,574,0,11,585,1150
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,362,2,2,170,196,42,,,104,,,,28,8,6,1,0,,459,,,,,,,1014,1,17,1032,1446
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,363,1,1,60,70,13,,,54,,,,7,0,5,0,0,,151,,,,,,,360,0,4,364,670
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,364,2,2,138,110,13,,,93,,,,7,16,2,1,0,,267,,,,,,,647,0,16,663,1208
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,365,3,3,115,108,29,,,110,,,,24,6,2,0,1,,348,,,,,,,743,0,30,773,1587
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,366,2,2,127,88,18,,,88,,,,14,15,3,1,1,,322,,,,,,,677,2,23,702,1450
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,367,3,3,164,164,30,,,130,,,,31,22,8,1,0,,386,,,,,,,936,0,28,964,1960
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,368,2,2,81,79,10,,,45,,,,15,3,3,0,1,,205,,,,,,,442,0,9,451,858
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,369,2,2,142,138,23,,,93,,,,27,15,5,0,0,,342,,,,,,,785,2,22,809,1376
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,370,2,2,125,134,19,,,131,,,,17,17,7,0,1,,289,,,,,,,740,0,12,752,1335
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,371,2,2,98,82,15,,,69,,,,13,5,8,1,1,,229,,,,,,,521,0,13,534,947
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,373,2,2,116,127,19,,,116,,,,21,17,2,0,0,,317,,,,,,,735,0,32,767,1430
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,374,16,16,611,614,106,,,729,,,,89,67,26,2,3,,2162,,,,,,,4409,11,103,4523,11279
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,375,4,4,246,217,44,,,230,,,,46,25,6,1,1,,568,,,,,,,1384,3,32,1419,2697
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,376,4,4,241,228,27,,,159,,,,24,25,5,0,1,,539,,,,,,,1249,1,40,1290,2357
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,377,2,2,132,120,14,,,109,,,,18,16,4,1,0,,280,,,,,,,694,0,23,717,1305
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,378,2,2,112,126,19,,,100,,,,19,16,2,2,0,,303,,,,,,,699,1,28,728,1341
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,379,2,2,127,119,14,,,92,,,,12,15,7,2,0,,275,,,,,,,663,0,27,690,1285
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,382,2,2,135,97,22,,,94,,,,30,12,3,0,1,,310,,,,,,,704,1,32,737,1398
1,26,SONORA,6,HERMOSILLO,49,HERMOSILLO,383,1,1,61,79,16,,,54,,,,13,8,2,0,0,,138,,,,,,,371,0,20,391,705
