ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
26,SONORA,54,RAYON,2,3,3,41,616,17,6,4,3,9,2,2,0,,,,,,,700,711,55,1466,1937,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_RAYON.pdf
26,SONORA,68,ROSARIO,5,10,10,539,735,40,407,296,24,665,239,239,,,,,,,,3184,0,92,3276,4789,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_ROSARIO.pdf
26,SONORA,32,SAHUARIPA,9,12,12,363,1253,78,197,143,14,321,115,115,32,,,,,,,2631,0,85,2716,4638,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_SAHUARIPA.pdf
26,SONORA,33,SAN FELIPE DE JESUS,1,1,1,119,34,8,1,0,304,2,0,0,,,,,,,,468,0,12,480,582,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_SAN%20FELIPE%20DE%20JESUS.pdf
26,SONORA,72,SAN IGNACIO RIO MUERTO,8,22,22,181,1998,141,542,394,1377,888,320,320,75,,,,,,,6236,1,161,6398,10676,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_SAN%20IGNACIO%20RIO%20MUERTO.pdf
26,SONORA,34,SAN JAVIER,1,1,1,0,320,,30,22,75,49,18,17,,,,,,,,531,0,9,540,650,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_SAN%20JAVIER.pdf
26,SONORA,55,SAN LUIS RIO COLORADO,91,278,280,13634,7085,1899,6103,4439,12394,9986,3605,3605,1579,,,,,,,64329,291,1924,66544,169156,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_SAN%20LUIS%20RIO%20COLORADO.pdf
26,SONORA,56,SAN MIGUEL DE HORCASITAS,4,11,11,639,940,125,277,201,328,453,163,163,73,,,,,,,3362,15,174,3551,7027,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_SAN%20MIGUEL%20DE%20HORCASITAS.pdf
26,SONORA,35,SAN PEDRO DE LA CUEVA,2,4,4,129,466,21,3,3,1,5,1,1,906,,,,,,,1536,0,52,1588,1956,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_SAN%20PEDRO%20DE%20LA%20CUEVA.pdf
26,SONORA,36,SANTA ANA,13,24,25,1333,2598,32,356,258,60,582,209,209,27,,,,,1432,149,7245,7,276,7528,12875,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_SANTA%20ANA.pdf
26,SONORA,37,SANTA CRUZ,1,3,3,182,63,33,42,31,300,69,24,24,,,,,,,,768,1,35,804,1474,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_SANTA%20CRUZ.pdf
26,SONORA,38,SARIC,2,4,4,305,121,29,,,,500,,,,,,,,,,955,0,15,970,1807,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_SARIC.pdf
26,SONORA,39,SOYOPA,5,5,5,120,76,12,8,6,838,13,5,4,397,,,,,,,1479,0,50,1529,1872,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_SOYOPA.pdf
26,SONORA,40,SUAQUI GRANDE,1,3,3,676,,1,133,96,,217,78,78,1,,,,,,,1280,0,9,1289,1551,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_SUAQUI%20GRANDE.pdf
26,SONORA,41,TEPACHE,2,3,3,0,368,238,92,66,3,151,54,54,0,,,,,,,1026,0,17,1043,1468,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_TEPACHE.pdf
26,SONORA,42,TRINCHERAS,2,3,3,34,193,6,,,0,,,768,,,,,,,,1001,1,28,1030,1426,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_TRINCHERAS.pdf
26,SONORA,43,TUBUTAMA,4,4,4,267,62,14,9,6,,15,5,5,481,,,,,,,864,0,60,924,1381,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_TUBUTAMA.pdf
26,SONORA,57,URES,13,21,21,1388,895,546,578,420,64,946,341,341,20,,,,,,,5539,108,223,5870,10132,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_URES.pdf
26,SONORA,44,VILLA HIDALGO,3,4,4,1,1,1,116,84,746,190,68,68,,,,,,,,1275,0,24,1299,1704,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_VILLA%20HIDALGO.pdf
26,SONORA,45,VILLA PESQUEIRA,3,4,4,0,3,38,213,155,705,349,125,125,,,,,,,,1713,0,14,1727,2005,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_VILLA%20PESQUEIRA.pdf
26,SONORA,69,YECORA,7,11,11,122,1100,52,326,237,18,533,192,192,103,,,,,,,2875,0,83,2958,4302,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_YECORA.pdf
