ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUMERO_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
29,TLAXCALA,8,SAN BERNARDINO CONTLA,9,CUAXOMULCO,59,SAN MIGUEL BUENAVISTA,1,1,53,84,,,6,89,29,45,58,139,6,,,,,3,509,13,525,628,
29,TLAXCALA,8,SAN BERNARDINO CONTLA,9,CUAXOMULCO,60,ZACAMOLPA,1,1,,,,98,,,15,4,,96,22,,,,,0,235,10,245,294,
29,TLAXCALA,8,SAN BERNARDINO CONTLA,9,CUAXOMULCO,61,SAN LORENZO XALTELULCO,1,2,56,129,,,318,34,23,71,71,134,204,,,,,0,1040,40,1080,1451,
29,TLAXCALA,9,SANTA ANA CHIAUTEMPAN,10,CHIAUTEMPAN,62,COLONIA CHALMA,2,6,188,87,154,153,138,48,47,241,150,66,43,,,,,0,1315,26,1341,1913,
29,TLAXCALA,9,SANTA ANA CHIAUTEMPAN,10,CHIAUTEMPAN,63,SANTA CRUZ GUADALUPE,1,4,,367,306,69,41,285,201,373,24,,42,,,,,1,1708,72,1781,2507,
29,TLAXCALA,9,SANTA ANA CHIAUTEMPAN,10,CHIAUTEMPAN,64,COLONIA REFORMA,2,7,178,469,277,135,299,219,,843,395,61,170,,,,,90,3046,199,3335,4894,
29,TLAXCALA,9,SANTA ANA CHIAUTEMPAN,10,CHIAUTEMPAN,65,COLONIA INDUSTRIAL,1,2,115,216,90,98,53,90,,144,,,,,,,,1,806,24,831,1088,
29,TLAXCALA,9,SANTA ANA CHIAUTEMPAN,10,CHIAUTEMPAN,66,COLONIA EL ALTO,2,9,152,722,244,240,1064,297,398,807,278,25,96,,,,,1,4323,133,4457,6205,
29,TLAXCALA,9,SANTA ANA CHIAUTEMPAN,10,CHIAUTEMPAN,67,BARRIO DE TEXCACOAC,1,7,412,303,573,,635,317,,476,259,114,146,,,,,4,3235,151,3390,4997,
29,TLAXCALA,9,SANTA ANA CHIAUTEMPAN,10,CHIAUTEMPAN,68,BARRIO DE XAXALA,1,3,290,186,130,109,132,61,,254,144,4,207,,,,,0,1517,76,1593,2384,
29,TLAXCALA,2,TLAXCO DE MORELOS,11,MUÑOZ DE DOMINGO ARENAS,69,SAN JOSE CUAMATZINGO,1,2,189,109,,,243,,,51,,53,34,,,,,0,679,32,711,1086,
29,TLAXCALA,2,TLAXCO DE MORELOS,11,MUÑOZ DE DOMINGO ARENAS,70,GUADALUPE CUAHTEMOC,1,1,,,,,27,,,226,3,,89,,,,,11,345,5,361,524,
29,TLAXCALA,2,TLAXCO DE MORELOS,11,MUÑOZ DE DOMINGO ARENAS,71,COLONIA SAN ISIDRO CHIPILO,1,1,,,,,,,,128,5,96,,,,,,0,229,22,251,312,
29,TLAXCALA,10,HUAMANTLA,13,HUAMANTLA,72,COLONIA EMILIANO ZAPATA,1,6,330,109,,227,264,294,,669,245,22,35,,,,,1,2195,97,2293,2990,
29,TLAXCALA,10,HUAMANTLA,13,HUAMANTLA,73,BARRIO DE SAN SEBASTIAN,4,18,284,354,,108,252,834,97,829,389,,180,,,,,2,3327,124,3453,5611,
29,TLAXCALA,10,HUAMANTLA,13,HUAMANTLA,74,BARRIO DE SANTA ANITA,2,12,144,645,,209,652,149,,345,54,11,,,,,,9,2209,74,2292,3356,
29,TLAXCALA,11,HUAMANTLA,13,HUAMANTLA,75,BARRIO DE SAN FRANCISCO YANCUITLALPAN,2,4,70,157,,102,393,27,,269,141,,,,,,,3,1159,67,1229,1564,
