CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESC,CL,EDC,MLC,CAND_IND1,CAND_IND2,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,7,B,1,0,B,0,16,36,2,3,5,196,62,0,7,1,0,,,0,7,3,0,0,338,1,5,344,474,Acta del consejo,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0007B-AC.pdf
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,7,C,1,0,C01,0,10,39,0,5,6,208,61,0,3,4,0,,,0,3,1,0,0,340,0,4,344,473,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0007C1-CIPR.pdf
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,8,B,1,0,B,0,21,72,1,14,6,295,100,1,2,0,1,,,1,1,1,1,0,517,0,2,519,746,Acta casilla,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0008B-AEC.pdf
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,9,B,1,0,B,0,22,59,1,7,6,230,117,0,8,4,1,,,0,2,0,2,1,460,1,8,469,698,Acta casilla,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0009B-AEC.pdf
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,9,C,1,0,C01,0,25,69,2,9,2,255,88,2,6,2,4,,,0,9,0,1,1,475,1,9,485,698,Acta casilla,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0009C1-AEC.pdf
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,9,C,2,0,C02,0,18,38,1,5,6,249,109,1,7,1,3,,,1,1,0,0,1,441,0,11,452,698,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0009C2-CIPR.pdf
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,9,C,3,0,C03,0,21,47,0,9,6,265,93,1,3,2,1,,,1,3,0,0,1,453,0,6,459,697,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0009C3-CIPR.pdf
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,9,C,4,0,C04,0,31,53,1,9,4,248,87,2,6,3,0,,,2,5,1,0,0,452,0,5,457,697,Acta casilla,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0009C4-AEC.pdf
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,9,C,5,0,C05,0,24,33,1,4,5,266,84,3,5,2,1,,,1,6,1,1,0,437,0,5,442,697,Grupo de recuento,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0009C5-CIPR.pdf
3,4,CAMPECHE,7,TENABO,1,CAMPECHE,9,C,6,0,C06,0,15,49,2,6,7,243,98,1,4,1,1,,,0,10,0,0,0,437,0,12,449,697,Acta casilla,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/A_Campeche_0009C6-AEC.pdf
