ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_PRD_NAY,PAN_PRI_PRD,PAN_PRI_NAY,PAN_PRD_NAY,PRI_PRD_NAY,PAN_PRI,PAN_PRD,PAN_NAY,PRI_PRD,PRI_NAY,PRD_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,68,SINANCHE,3,5,5,827,79,0,698,493,278,31,2,0,0,4,0,0,12,0,1,0,0,0,0,0,0,0,2425,0,64,2489,2750,
31,YUCATAN,69,SOTUTA,7,12,12,153,40,0,3332,31,0,1560,67,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5194,0,112,5306,6738,
31,YUCATAN,70,SUCILA,2,5,5,1187,1033,0,14,16,0,372,5,0,0,0,0,0,0,0,3,0,0,0,6,5,3,0,2644,15,74,2733,3150,
31,YUCATAN,71,SUDZAL,2,3,3,761,4,0,251,5,0,463,0,0,0,0,0,0,0,0,0,0,0,0,9,3,2,0,1498,0,22,1520,1657,
31,YUCATAN,72,SUMA,2,4,4,1,3,0,11,17,540,161,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1411,0,43,1454,1710,
31,YUCATAN,73,TAHDZIU,1,5,5,555,13,10,42,55,0,740,1737,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3155,0,91,3246,3631,
31,YUCATAN,74,TAHMEK,2,5,5,1232,0,0,1405,4,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2859,0,44,2903,3215,
31,YUCATAN,75,TEABO,2,8,8,1523,20,0,0,1287,0,1419,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,4268,0,98,4366,5147,
31,YUCATAN,76,TECOH,10,22,22,4519,83,1602,160,115,0,2688,714,0,0,0,0,0,0,0,0,0,0,0,60,25,35,10,10011,14,415,10440,13368,
31,YUCATAN,77,TEKAL DE VENEGAS,2,4,4,1002,1,0,12,13,2,990,5,0,0,3,0,0,6,0,1,0,0,0,11,0,1,1,2048,0,17,2065,2357,
31,YUCATAN,78,TEKANTO,6,8,8,945,122,0,14,35,0,1683,7,0,0,11,0,0,25,0,1,0,0,0,43,4,4,4,2898,1,30,2929,3249,
31,YUCATAN,79,TEKAX,21,54,54,8352,797,162,409,924,0,10674,214,100,110,19,1,1,118,24,13,2,0,22,0,0,0,243,22185,124,850,23159,32682,
31,YUCATAN,80,TEKIT,4,14,14,3823,17,0,0,0,0,3560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7400,1,104,7505,8485,
31,YUCATAN,81,TEKOM,4,6,6,690,1495,0,0,0,0,182,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2384,1,57,2442,2757,
31,YUCATAN,82,TELCHAC PUEBLO,4,6,6,39,1279,0,3,1242,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2630,0,68,2698,3088,
31,YUCATAN,83,TELCHAC PUERTO,2,4,4,192,902,0,20,20,16,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2002,0,50,2052,2310,
