CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,MC,MORENA,PS,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,694,B,1,0,B,0,58,30,9,40,0,5,7,0,1,0,0,71,221,0,5,226,567,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,694,C,1,0,C01,0,62,22,10,38,0,7,5,2,0,0,0,80,226,1,9,236,567,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,697,B,1,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,GRUPO DE RECUENTO,ANULADA,RQ-PP-12/2024,https://www.teesonora.org.mx/docs/resoluciones/2024/07/RQ-PP-12-2024.pdf
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,697,C,1,0,C01,0,50,26,3,50,0,9,4,1,0,0,0,78,221,0,6,227,517,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,698,B,1,0,B,0,39,18,3,28,0,4,4,0,0,0,0,95,191,1,8,200,458,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,698,C,1,0,C01,0,56,25,8,37,0,9,9,4,1,0,0,41,190,0,6,196,458,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,699,B,1,0,B,0,48,42,7,29,0,4,6,2,0,1,0,44,183,1,9,193,398,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,699,C,1,0,C01,0,51,36,4,30,0,7,4,2,0,0,0,60,194,0,2,196,397,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,700,B,1,0,B,0,64,33,5,44,0,6,7,2,0,0,0,69,230,0,8,238,458,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,700,C,1,0,C01,0,67,24,8,32,0,7,6,4,0,0,0,56,204,1,3,208,458,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,701,B,1,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712,GRUPO DE RECUENTO,ANULADA,SG-JDC-0564-2024,https://www.te.gob.mx/media/SentenciasN/pdf/guadalajara/SG-JDC-0564-2024.pdf
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,701,C,1,0,C01,0,96,53,11,65,0,15,7,4,0,0,0,101,352,0,6,358,711,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,701,C,2,0,C02,0,96,51,8,50,0,21,0,0,0,0,0,125,351,0,28,379,711,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,701,C,3,0,C03,0,99,46,9,67,0,8,14,1,0,1,0,94,339,0,11,350,711,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,702,B,1,0,B,0,78,25,6,51,0,18,5,1,0,0,0,104,288,1,6,295,671,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,702,C,1,0,C01,0,72,21,11,46,0,20,10,2,0,0,0,103,285,1,7,293,671,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,703,B,1,0,B,0,80,42,10,42,0,9,9,2,0,0,0,68,262,0,7,269,548,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,703,C,1,0,C01,0,66,34,12,42,0,7,8,1,1,1,0,71,243,0,15,258,548,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,703,C,2,0,C02,0,73,35,9,44,0,7,4,2,0,0,0,69,243,0,6,249,548,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,704,B,1,0,B,0,81,33,5,37,0,10,12,0,0,0,0,91,269,0,9,278,618,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,704,C,1,0,C01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,GRUPO DE RECUENTO,ANULADA,RQ-PP-12/2024,https://www.teesonora.org.mx/docs/resoluciones/2024/07/RQ-PP-12-2024.pdf
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,704,C,2,0,C02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,GRUPO DE RECUENTO,ANULADA,RQ-PP-12/2024,https://www.teesonora.org.mx/docs/resoluciones/2024/07/RQ-PP-12-2024.pdf
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,705,B,1,0,B,0,77,36,11,43,0,15,9,2,0,0,0,78,271,0,8,279,583,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,705,C,1,0,C01,0,73,35,7,41,0,12,9,2,1,0,0,103,283,0,16,299,583,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,705,C,2,0,C02,0,58,26,7,46,0,10,11,2,0,0,0,72,232,0,5,237,583,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,706,B,1,0,B,0,70,36,10,56,0,10,13,1,0,0,0,90,286,0,8,294,594,GRUPO DE RECUENTO,,,
