CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,MC,PVEM,MORENA,PT,QS,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,PVEM_MORENA_PT,PVEM_MORENA,PVEM_PT,MORENA_PT,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,82,C,1,0,C01,0,29,67,0,153,15,53,43,6,0,0,0,1,0,0,0,8,0,0,0,0,10,4,0,1,390,0,32,422,654,GRUPO DE RECUENTO,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,84,B,1,0,B,0,29,21,4,79,31,39,30,9,0,0,0,14,0,0,0,10,0,0,0,0,6,5,0,0,277,0,25,302,568,GRUPO DE RECUENTO,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,84,C,1,0,C01,0,23,22,2,100,40,43,27,2,0,0,0,11,0,0,0,5,0,0,0,0,3,2,0,0,280,0,22,302,568,GRUPO DE RECUENTO,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,84,C,2,0,C02,0,32,32,2,98,47,32,30,9,0,0,0,7,0,0,0,4,0,0,0,0,5,3,0,0,301,0,25,326,568,GRUPO DE RECUENTO,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,85,B,1,0,B,0,33,23,2,139,28,124,10,5,0,0,0,3,0,0,0,9,0,0,0,0,1,1,0,0,378,0,19,397,613,GRUPO DE RECUENTO,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,85,C,1,0,C01,0,49,12,1,120,27,137,11,4,0,0,0,0,0,0,0,4,0,0,0,0,3,2,0,0,370,0,22,392,613,GRUPO DE RECUENTO,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,86,B,1,0,B,0,8,31,0,89,5,40,13,8,0,0,0,18,0,0,0,7,0,0,0,0,7,3,0,0,229,0,19,248,420,ACTA CASILLA,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,86,C,1,0,C01,0,8,21,2,97,4,43,15,9,0,0,0,17,0,0,0,3,0,0,0,0,2,3,0,0,224,1,22,247,419,GRUPO DE RECUENTO,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,86,E,1,0,E01,0,15,17,0,112,4,16,14,15,0,0,0,25,0,0,0,5,0,0,0,0,2,3,0,0,228,0,19,247,393,GRUPO DE RECUENTO,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,86,E,1,1,E01C01,0,18,22,0,112,2,17,8,17,0,0,0,18,0,0,0,8,0,0,0,0,1,2,0,0,225,0,14,239,393,GRUPO DE RECUENTO,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,87,B,1,0,B,0,34,45,1,97,19,100,6,5,0,0,0,0,0,0,0,15,0,0,0,0,4,2,1,0,329,0,16,345,577,GRUPO DE RECUENTO,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,87,C,1,0,C01,0,32,45,0,119,28,118,10,4,0,0,0,1,0,0,0,21,0,0,0,0,3,4,1,0,386,1,7,394,577,ACTA CASILLA,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,87,C,2,0,C02,0,25,47,3,97,37,108,7,4,0,0,0,0,0,0,0,16,0,0,0,0,3,2,0,0,349,3,15,367,577,ACTA CASILLA,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,87,C,3,0,C03,0,37,46,5,91,32,104,5,1,0,0,0,1,0,0,0,23,0,0,0,0,0,0,0,0,345,0,22,367,577,ACTA CASILLA,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,88,B,1,0,B,0,43,59,4,128,23,117,20,2,0,0,0,4,0,0,0,21,0,0,0,0,13,4,0,1,439,0,23,462,720,GRUPO DE RECUENTO,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,88,C,1,0,C01,0,34,49,1,94,26,151,17,1,0,0,0,2,0,0,0,30,0,0,0,0,5,8,0,0,418,3,17,438,720,ACTA CASILLA,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,88,C,2,0,C02,0,48,51,2,114,38,105,14,4,0,0,0,2,0,0,0,35,0,0,0,0,11,2,1,0,427,0,14,441,720,ACTA CASILLA,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,88,C,3,0,C03,0,29,68,3,108,32,153,10,1,0,0,0,4,0,0,0,27,0,0,0,0,4,3,0,0,442,0,20,462,720,ACTA CASILLA,,,
