CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_ELECCION,NOMBRE_PARTICIPANTE,NUMERO_LISTA,CANDIDATO,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO
5,16,MICHOACAN,2,PURUANDIRO,4,ANGAMACUTIRO,,,REG_MR,PT_PVEM_MORENA,3,JUAN MARTIN CHAVEZ SUAREZ,1,,,PVEM
5,16,MICHOACAN,2,PURUANDIRO,4,ANGAMACUTIRO,,,REG_MR,PT_PVEM_MORENA,4,ROSA ISELA AVILA GARCIA,2,,,PVEM
5,16,MICHOACAN,2,PURUANDIRO,4,ANGAMACUTIRO,,,REG_RP,C_PAN_PRI_PRD,1,LAURA BUENROSTRO MORONES,2,,,PRI
5,16,MICHOACAN,2,PURUANDIRO,4,ANGAMACUTIRO,,,REG_RP,C_PAN_PRI_PRD,2,CARLOS MARQUEZ ARCIGA,1,,,PRI
5,16,MICHOACAN,2,PURUANDIRO,4,ANGAMACUTIRO,,,REG_RP,C_PAN_PRI_PRD,3,ANGELINA MONTSERRAT HERNANDEZ MONTES,2,,,PRI
5,16,MICHOACAN,13,ZITACUARO,5,ANGANGUEO,,,PRES_MUN,PT_PVEM_MORENA,1,MARIA HILDA DOMINGUEZ GARCIA,2,,,PT
5,16,MICHOACAN,13,ZITACUARO,5,ANGANGUEO,,,SIND_MR,PT_PVEM_MORENA,1,GERARDO GUTIERREZ RAMIREZ,1,,,PT
5,16,MICHOACAN,13,ZITACUARO,5,ANGANGUEO,,,REG_MR,PT_PVEM_MORENA,1,PRISCILA MARTINEZ MARTINEZ,2,,,PT
5,16,MICHOACAN,13,ZITACUARO,5,ANGANGUEO,,,REG_MR,PT_PVEM_MORENA,2,ALEJANDRO MARTINEZ VAZQUEZ,1,,,PT
5,16,MICHOACAN,13,ZITACUARO,5,ANGANGUEO,,,REG_MR,PT_PVEM_MORENA,3,MARIA CECILIA TREJO MIRANDA,2,,,PT
5,16,MICHOACAN,13,ZITACUARO,5,ANGANGUEO,,,REG_MR,PT_PVEM_MORENA,4,MARCO ANTONIO VAZQUEZ FLORES,1,,,PT
5,16,MICHOACAN,13,ZITACUARO,5,ANGANGUEO,,,REG_RP,MC,1,RAUL MARTINEZ RAMIREZ,1,,,MC
5,16,MICHOACAN,13,ZITACUARO,5,ANGANGUEO,,,REG_RP,C_PAN_PRI,2,CONSTANTINO MORENO MARTINEZ,1,,,PRI
5,16,MICHOACAN,13,ZITACUARO,5,ANGANGUEO,,,REG_RP,MC,3,NANCY TAPIA SEGUNDO,2,,,MC
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,,,PRES_MUN,PT_PVEM_MORENA,1,FANNY LYSSETTE ARREOLA PICHARDO,2,,,MORENA
