CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMV,PVEM_PT_MORENA,PVEM_PT_FXMV,PVEM_MORENA_FXMV,PT_MORENA_FXMV,PVEM_PT,PVEM_MORENA,PVEM_FXMV,PT_MORENA,PT_FXMV,MORENA_FXMV,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2847,1,1,7,12,1,2,6,3,40,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,74,0,4,78,144
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2848,1,1,21,11,0,7,3,3,103,4,0,0,0,0,2,7,0,0,1,0,6,0,0,0,2,170,0,7,177,319
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2849,1,1,75,11,1,7,2,2,66,1,4,6,0,0,0,5,0,0,0,0,2,0,0,0,0,182,0,7,189,261
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2850,1,1,76,17,2,7,2,6,103,0,3,8,0,1,0,8,1,0,0,0,3,0,0,0,0,237,0,15,252,429
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2851,1,1,43,20,2,9,7,1,93,5,1,2,0,0,0,4,0,0,0,0,1,0,0,0,0,188,0,12,200,285
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2852,1,1,45,7,0,6,4,4,70,8,2,1,0,0,0,2,0,1,0,1,1,1,1,0,0,154,0,5,159,260
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2853,1,1,45,20,2,11,5,6,102,2,1,3,0,0,0,5,0,0,0,1,2,0,0,0,0,205,0,3,208,302
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2854,1,1,19,12,1,6,1,10,125,2,1,0,0,0,1,6,0,0,0,2,0,0,1,0,0,187,0,4,191,325
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2855,1,1,19,12,4,11,2,6,146,3,2,1,0,0,0,10,0,0,0,0,9,0,0,0,0,225,0,3,228,388
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2856,1,1,8,8,2,8,0,1,30,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,59,0,2,61,100
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2857,1,1,12,12,0,9,0,0,46,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,82,0,2,84,106
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2858,1,1,25,11,3,12,4,15,157,4,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,234,0,7,241,474
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2859,3,3,181,51,20,45,18,62,712,6,3,3,2,0,2,31,0,1,0,1,7,0,3,0,0,1148,0,32,1180,2114
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2860,2,2,105,38,3,26,12,32,420,5,1,0,0,0,7,5,0,0,1,1,10,0,2,0,0,668,0,14,682,1192
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2861,3,3,95,28,9,42,19,78,604,6,5,2,0,0,1,33,1,1,0,6,4,2,3,0,4,943,0,36,979,1933
