ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PUP,NAO,FXMO,MUJER,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,12,EL BARRIO DE LA SOLEDAD,10,23,24,,,,62,2536,1287,2714,13,24,25,16,,,,,,,,6677,0,293,6970,10581,
20,OAXACA,30,EL ESPINAL,7,14,15,6,567,,444,638,99,1885,357,,1410,19,,,,,,,,5425,1,108,5534,7162,
20,OAXACA,31,FRESNILLO DE TRUJANO,2,2,2,,,,209,5,,116,,165,,,,,,,,,,495,0,25,520,805,
20,OAXACA,32,GUADALUPE DE RAMIREZ,3,3,3,,,,,18,,249,2,4,129,372,,,,,,,,774,0,40,814,1099,
20,OAXACA,28,HEROICA CIUDAD DE EJUTLA DE CRESPO,19,33,34,343,291,127,,,3008,6693,,197,,113,,,,,,,,10772,12,602,11386,17852,
20,OAXACA,37,HEROICA CIUDAD DE HUAJUAPAN DE LEON,38,107,108,12510,2297,232,825,,6360,9145,,351,2465,395,,,,,,,,34580,19,1214,35813,63177,
20,OAXACA,43,HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA,52,135,136,,826,178,7503,1015,11104,24581,270,221,179,677,,,,,,,,46554,17,1813,48384,79114,
20,OAXACA,553,HEROICA CIUDAD DE TLAXIACO,21,62,63,94,322,,318,1853,435,3640,1800,499,5729,167,,,,5121,,,,19978,5,624,20607,33606,
20,OAXACA,121,HEROICA VILLA DE SAN BLAS ATEMPA,8,25,26,,2303,,678,558,,7188,26,31,50,96,,,,,,,,10930,2,378,11310,15551,
20,OAXACA,549,H VILLA TEZOATLAN SEGURA Y LUNA CUNA IND OAX,13,20,20,,1360,,137,1965,,1222,,21,,,,,,,,,,4705,0,352,5057,9414,
20,OAXACA,38,HUAUTEPEC,4,8,8,,919,,35,,19,1469,76,775,134,,,,,,,,,3427,3,114,3544,4504,
20,OAXACA,39,HUAUTLA DE JIMENEZ,19,43,44,,1344,5821,87,4356,,3876,36,364,89,95,,,,,,,,16068,1,633,16702,22256,
20,OAXACA,44,LOMA BONITA,32,60,61,220,208,3681,1468,313,122,10306,74,74,137,160,,,,,,,,16763,7,710,17480,29100,
20,OAXACA,48,MAGDALENA OCOTLAN,1,2,2,,,181,266,,7,222,,,,,,,,,,,,676,0,46,722,879,
20,OAXACA,51,MAGDALENA TEQUISISTLAN,6,11,11,,,,13,1328,1035,1629,159,,5,7,,,,,,,,4176,0,107,4283,5514,
20,OAXACA,52,MAGDALENA TLACOTEPEC,1,2,2,,5,,1,1,266,324,1,0,369,,,,,,,,,967,0,22,989,1148,
