CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNA,PES,FPM,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,397,C,2,0,C02,0,23,11,76,14,12,30,131,5,9,5,0,0,2,1,3,1,323,0,11,334,668,ACTA DEL CONSEJO,,,
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,398,B,1,0,B,0,16,14,35,17,7,44,145,6,3,7,0,2,3,0,1,0,300,0,13,313,640,ACTA CASILLA,,,
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,398,C,1,0,C01,0,32,16,30,12,13,39,108,5,5,7,0,2,2,0,12,6,289,0,15,304,640,ACTA CASILLA,,,
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,398,C,2,0,C02,0,22,26,30,17,7,51,136,5,2,9,0,2,5,2,0,0,314,0,8,322,639,ACTA CASILLA,,,
5,6,COLIMA,3,COLIMA,1,COLIMA,399,B,1,0,B,0,41,29,3,15,12,60,118,3,5,3,0,3,12,0,0,1,305,0,11,316,614,ACTA CASILLA,,,
5,6,COLIMA,3,COLIMA,1,COLIMA,399,C,1,0,C01,0,41,30,2,7,11,46,96,1,2,2,0,4,5,2,2,2,253,0,15,268,613,ACTA CASILLA,,,
5,6,COLIMA,3,COLIMA,1,COLIMA,399,C,2,0,C02,0,36,40,4,14,23,41,104,8,5,1,0,4,12,2,0,0,294,0,14,308,613,ACTA DEL CONSEJO,,,
5,6,COLIMA,3,COLIMA,1,COLIMA,399,C,3,0,C03,0,27,21,6,17,17,36,114,4,7,6,0,3,8,1,2,1,270,0,14,284,613,ACTA CASILLA,,,
5,6,COLIMA,3,COLIMA,1,COLIMA,399,C,4,0,C04,0,42,21,5,21,26,46,101,3,5,2,0,5,13,2,2,1,295,0,13,308,613,ACTA CASILLA,,,
5,6,COLIMA,3,COLIMA,1,COLIMA,400,B,1,0,B,0,30,26,2,17,4,32,59,9,2,3,0,1,6,4,1,1,197,0,5,202,374,ACTA DEL CONSEJO,,,
