CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN_PRI_PRD_PRS_PHBCS,MORENA_PT_PVEM_NABCS,PAN,PRI,PRD,PT,PVEM,MC,PRS,MORENA,PHBCS,NABCS,FXMBCS,MLBCS,PESBCS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,41,B,1,0,B,0,51,125,0,0,0,0,0,25,0,0,0,0,3,6,0,210,0,20,230,534,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,41,C,1,0,C01,0,56,133,0,0,0,0,0,27,0,0,0,0,3,9,0,228,0,18,246,533,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,42,B,1,0,B,0,47,123,0,0,0,0,0,28,0,0,0,0,2,3,0,203,0,18,221,640,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,42,C,1,0,C01,0,47,167,0,0,0,0,0,31,0,0,0,0,2,8,0,255,0,15,270,640,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,43,B,1,0,B,0,42,121,0,0,0,0,0,17,0,0,0,0,7,4,0,191,0,6,197,381,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,43,C,1,0,C01,0,37,114,0,0,0,0,0,31,0,0,0,0,3,3,0,188,1,5,194,380,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,44,B,1,0,B,0,61,100,0,0,0,0,0,47,0,0,0,0,5,3,0,216,0,9,225,396,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,44,C,1,0,C01,0,71,105,0,0,0,0,0,40,0,0,0,0,2,1,0,219,0,6,225,395,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,45,B,1,0,B,0,65,80,0,0,0,0,0,30,0,0,0,0,6,3,0,184,1,9,194,404,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,45,C,1,0,C01,0,53,89,0,0,0,0,0,35,0,0,0,0,5,10,0,192,0,4,196,403,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,46,B,1,0,B,0,63,182,0,0,0,0,0,49,0,0,0,0,13,13,0,320,0,15,335,708,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,47,B,1,0,B,0,54,124,0,0,0,0,0,46,0,0,0,0,11,10,0,245,0,8,253,527,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,47,C,1,0,C01,0,68,131,0,0,0,0,0,29,0,0,0,0,5,9,0,242,1,8,251,527,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,48,B,1,0,B,0,50,162,0,0,0,0,0,42,0,0,0,0,9,8,0,271,0,15,286,613,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,48,C,1,0,C01,0,88,140,0,0,0,0,0,44,0,0,0,0,6,3,0,281,0,19,300,612,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,49,B,1,0,B,0,23,15,0,0,0,0,0,1,0,0,0,0,0,2,0,41,0,4,45,144,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,50,B,1,0,B,0,18,75,0,0,0,0,0,5,0,0,0,0,0,3,0,101,0,7,108,181,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,51,B,1,0,B,0,13,109,0,0,0,0,0,15,0,0,0,0,3,7,0,147,0,4,151,340,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,52,B,1,0,B,0,18,126,0,0,0,0,0,36,0,0,0,0,4,30,0,214,0,11,225,459,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,53,B,1,0,B,0,18,97,0,0,0,0,0,34,0,0,0,0,3,6,0,158,0,10,168,277,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,54,B,1,0,B,0,17,98,0,0,0,0,0,36,0,0,0,0,3,19,0,173,0,13,186,420,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,54,C,1,0,C01,0,33,100,0,0,0,0,0,18,0,0,0,0,5,23,0,179,0,13,192,420,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,54,E,1,0,E01,0,9,62,0,0,0,0,0,13,0,0,0,0,0,16,0,100,0,9,109,184,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,55,B,1,0,B,0,41,132,0,0,0,0,0,27,0,0,0,0,5,9,0,214,0,9,223,412,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,56,B,1,0,B,0,58,224,0,0,0,0,0,30,0,0,0,0,4,13,0,329,0,13,342,640,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,57,B,1,0,B,0,87,201,0,0,0,0,0,49,0,0,0,0,14,14,0,365,0,19,384,689,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,58,B,1,0,B,0,83,140,0,0,0,0,0,36,0,0,0,0,11,23,0,293,0,17,310,518,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,59,B,1,0,B,0,39,151,0,0,0,0,0,31,0,0,0,0,3,11,0,235,0,16,251,541,Grupo de recuento,,,
