CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES_BC,FXM_BC,PVEM_MORENA_FXM_BC,PVEM_MORENA,PVEM_FXM_BC,MORENA_FXM_BC,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,66,2,2,0,26,13,9,13,33,140,47,29,0,0,0,0,0,310,1,18,329,882
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,67,2,2,0,35,9,11,13,22,110,49,25,0,0,0,0,0,274,4,16,294,811
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,68,2,2,0,27,9,9,17,31,94,63,20,0,0,0,0,0,270,8,16,294,788
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,69,1,1,0,25,6,16,27,20,126,64,20,0,0,0,0,0,304,2,18,324,704
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,70,1,1,0,21,10,13,15,21,108,59,13,0,0,0,0,0,260,3,7,270,633
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,71,1,1,88,31,7,12,12,31,141,58,30,0,0,0,0,0,410,0,16,426,722
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,72,2,2,127,33,15,17,31,59,246,88,35,0,0,0,0,0,651,5,42,698,1215
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,73,1,1,104,32,3,10,19,21,107,52,19,0,0,0,0,0,367,5,13,385,728
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,74,2,2,100,21,6,14,22,28,172,63,40,0,0,0,0,0,466,2,27,495,936
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,75,2,2,109,22,5,14,15,42,159,80,24,0,0,0,0,0,470,2,23,495,862
